Base TechID,Measure TechID,System Type,Building Type,Building Location,heat,cool,ventFan
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,SFm,CZ09,4495.02,3357.56,1254.26
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,SFm,CZ10,2399.89,2677.96,822.28
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,SFm,CZ11,4761.78,3526.5,1235.93
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,SFm,CZ12,5115.82,1751.47,916.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,SFm,CZ13,5147.8,4897.36,1564.39
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,SFm,CZ14,6353.17,2385.61,1176.52
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,SFm,CZ15,1396.12,8209.09,1754.07
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-AOE,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-AOE,rDXHP,SFm,CZ16,3731.6,481.32,553.39
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,rDXHP,SFm,CZ01,3544.64,84.0,492.91
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,rDXHP,SFm,CZ02,6912.09,1212.42,1215.43
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,rDXHP,SFm,CZ03,4698.2,1102.46,957.95
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,rDXHP,SFm,CZ04,6744.84,3051.91,1603.61
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,rDXHP,SFm,CZ05,4999.51,1006.65,962.68
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,rDXHP,SFm,CZ06,2642.47,1455.73,765.95
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-NR,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-LRM-LSC-Correct-0%UC-NR,rDXHP,SFm,CZ07,2304.75,1032.6,602.76
