File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,CHW Pump Power,CW Pump Power,Electricity/Heating,Electricity/Cooling,Electricity/Interior Lighting,Electricity/Exterior Lighting,Electricity/Interior Equipment,Electricity/Exterior Equipment,Electricity/Fans,Electricity/Pumps,Electricity/Heat Rejection,Electricity/Humidification,Electricity/Heat Recovery,Electricity/Water Systems,Electricity/Refrigeration,Electricity/Generators,Natural Gas/Heating,Natural Gas/Cooling,Natural Gas/Interior Lighting,Natural Gas/Exterior Lighting,Natural Gas/Interior Equipment,Natural Gas/Exterior Equipment,Natural Gas/Fans,Natural Gas/Pumps,Natural Gas/Heat Rejection,Natural Gas/Humidification,Natural Gas/Heat Recovery,Natural Gas/Water Systems,Natural Gas/Refrigeration,Natural Gas/Generators,Electricity:Facility [J](Hourly)
SWHC008-03 VSD Central Plant_New/runs/CZ04/Hsp&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ04,Hsp,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,13067.48,,0,971072.46,626942.71,0,1141299.43,0,356958.82,365700.1,390963.57,0,0,0,0,0,899676.33,0,0,0,43737.51,0,0,0,0,0,0,264811.83,0,0,2809580069
SWHC008-03 VSD Central Plant_New/runs/CZ04/EUn&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ04,EUn,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,59272.37,0,1582622.02,643032.05,0,3553012.2,0,945097.65,159107.55,297924.09,0,0,0,0,0,651149.33,0,0,0,127428.8,0,0,0,0,0,0,711030.46,0,0,6162897488
SWHC008-03 VSD Central Plant_New/runs/CZ04/Hsp&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ04,Hsp,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,37305.38,0,1170230.46,626942.71,0,1141299.43,0,357699.8,174564.2,308202.03,0,0,0,0,0,894293.29,0,0,0,43737.51,0,0,0,0,0,0,264803.61,0,0,2888658829
SWHC008-03 VSD Central Plant_New/runs/CZ04/EUn&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ04,EUn,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,1585000.15,643032.05,0,3553012.2,0,945098.16,590896.54,631249.78,0,0,0,0,0,651155.51,0,0,0,127428.8,0,0,0,0,0,0,711030.46,0,0,6255670688
SWHC008-03 VSD Central Plant_New/runs/CZ04/Nrs&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ04,Nrs,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,1344.24,,0,125044.83,103288.37,0,282049.05,0,74881.13,36375.08,40763.16,0,0,0,0,0,71942.57,0,0,0,65854.75,0,0,0,0,0,0,121494.27,0,0,427888428.1
SWHC008-03 VSD Central Plant_New/runs/CZ04/Nrs&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ04,Nrs,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,3837.58,0,140236.11,103288.37,0,282049.05,0,74878.31,9897.84,19629.82,0,0,0,0,0,71957.46,0,0,0,65854.75,0,0,0,0,0,0,121496.4,0,0,445197404.9
SWHC008-03 VSD Central Plant_New/runs/CZ04/OfL&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ04,OfL,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,675430.55,239542.44,0,831153.37,0,192485.15,238513.05,230961.51,0,0,0,0,0,286420.55,0,0,0,0,0,0,0,0,0,0,111400.26,0,0,1743766709
SWHC008-03 VSD Central Plant_New/runs/CZ04/OfS&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ04,OfS,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,472.72,,0,13569.42,12134.67,0,29466.65,0,56910.03,12006.66,14060.71,0,0,0,0,0,2349.17,0,0,0,0,0,0,0,0,0,0,4532.56,0,0,88050821.15
SWHC008-03 VSD Central Plant_New/runs/CZ04/OfS&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql,CZ04,OfS,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CWPumpCtrl-Full-Msr,,1349.53,0,21289.18,12134.67,0,29466.65,0,56909.98,3422.15,4303.71,0,0,0,0,0,2349.17,0,0,0,0,0,0,0,0,0,0,4532.56,0,0,101780381.5
SWHC008-03 VSD Central Plant_New/runs/CZ04/EUn&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ04,EUn,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,20762.17,,0,1353134.65,643032.05,0,3553012.2,0,945233.46,555069.46,630173.39,0,0,0,0,0,649767.3,0,0,0,127428.8,0,0,0,0,0,0,711126.93,0,0,5877907640
SWHC008-03 VSD Central Plant_New/runs/CZ04/Hsp&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ04,Hsp,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,1172608.74,626942.71,0,1141299.43,0,357615.48,426855.33,403043.39,0,0,0,0,0,894003.46,0,0,0,43737.51,0,0,0,0,0,0,264799.41,0,0,2909786880
SWHC008-03 VSD Central Plant_New/runs/CZ04/Nrs&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ04,Nrs,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,140382.92,103288.37,0,282049.05,0,74878.4,38108.85,40796.85,0,0,0,0,0,71959.77,0,0,0,65854.75,0,0,0,0,0,0,121495.77,0,0,454673187.3
SWHC008-03 VSD Central Plant_New/runs/CZ04/OfS&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql,CZ04,OfS,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-PumpCtrl-Full-Std,,,0,21342.76,12134.67,0,29466.65,0,56909.98,13485.31,14089.02,0,0,0,0,0,2349.17,0,0,0,0,0,0,0,0,0,0,4532.56,0,0,104166750.7
SWHC008-03 VSD Central Plant_New/runs/CZ04/Rt3&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql,CZ04,Rt3,0,cPVVE,New,Chiller,PumpCtrl,NE-Chiller-CHWPumpCtrl-Full-Msr,7937.29,,0,511795.51,394508.4,0,436518,0,207623.96,213941.28,239193.66,0,0,0,0,0,577865.32,0,0,0,0,0,0,0,0,0,0,170239.39,0,0,1994071325
