File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,36.55,91.01,47382.93,117965.02
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,34.69,85.10,44964.38,110305.47
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,38.44,96.97,49822.45,125691.00
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,39.81,101.33,51606.61,131341.42
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,41.82,107.69,54209.46,139584.64
CZ02/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,47.41,125.38,61452.69,162523.95
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,51.84,87.41,39869.41,67232.25
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,51.74,87.12,39798.03,67006.19
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,51.94,87.73,39946.92,67477.74
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,51.83,87.40,39867.15,67225.12
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,52.12,88.31,40086.39,67919.44
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,52.38,89.12,40284.09,68545.55
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,52.77,90.37,40586.09,69501.99
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,53.44,92.50,41104.53,71143.89
CZ02/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,55.83,100.07,42942.99,76966.27
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,48.01,82.77,62230.94,107294.41
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,47.84,82.23,62008.71,106590.61
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,48.20,83.36,62472.26,108058.66
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,48.00,82.76,62223.92,107272.19
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,48.53,84.42,62906.47,109433.81
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,49.01,85.93,63521.96,111383.05
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,49.73,88.23,64462.17,114360.73
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,50.98,92.17,66076.22,119472.40
CZ02/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,55.39,106.15,71799.83,137599.09
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,39.05,85.12,30031.16,65466.35
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,37.89,81.45,29140.94,62647.02
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,39.85,87.65,30646.46,67415.01
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,39.35,86.08,30264.53,66205.41
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,38.14,82.25,29333.74,63257.60
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,40.45,89.58,31114.79,68898.21
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,41.24,92.06,31717.43,70806.75
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,42.35,95.57,32569.20,73504.33
CZ03/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,45.26,104.80,34811.00,80604.09
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,32.80,79.14,42518.06,102580.14
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,31.43,74.80,40741.59,96954.05
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,33.90,82.61,43938.35,107078.21
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,33.21,80.44,43050.11,104265.13
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,31.78,75.89,41187.82,98367.28
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,34.76,85.35,45059.32,110628.32
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,35.92,89.01,46557.13,115371.88
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,37.63,94.44,48782.66,122420.13
CZ03/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,42.56,110.04,55165.63,142634.99
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,47.77,82.57,36738.21,63508.26
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,47.68,82.31,36674.62,63306.86
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,47.86,82.86,36807.27,63726.96
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,47.76,82.56,36736.21,63501.90
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,48.02,83.37,36931.52,64120.48
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,48.25,84.09,37107.65,64678.27
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,48.60,85.20,37376.71,65530.37
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,49.20,87.10,37838.58,66993.13
CZ03/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,51.33,93.85,39476.46,72180.30
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,42.69,76.45,55339.38,99094.92
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,42.54,75.95,55135.88,98450.42
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,42.86,76.99,55560.37,99794.79
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,42.69,76.43,55332.96,99074.57
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,43.17,77.96,55958.00,101054.08
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,43.60,79.34,56521.63,102839.09
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,44.27,81.44,57382.63,105565.89
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,45.41,85.05,58860.69,110246.90
CZ03/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,49.45,97.86,64102.08,126846.38
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,43.57,99.72,33507.37,76693.82
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,41.91,94.47,32232.52,72656.37
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,45.10,104.57,34686.08,80426.80
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,44.13,101.51,33944.17,78077.18
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,42.39,95.99,32603.72,73831.97
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,46.34,108.52,35644.98,83463.65
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,48.06,113.95,36964.51,87642.60
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,50.70,122.32,38997.31,94080.49
CZ04/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,58.72,147.70,45160.18,113598.29
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,38.58,97.60,50013.12,126511.29
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,36.57,91.23,47407.67,118259.83
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,40.63,104.09,52670.50,134927.24
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,39.34,99.99,50991.50,129609.82
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,37.22,93.28,48245.70,120913.89
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,42.33,109.47,54870.88,141895.82
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,44.71,116.99,57948.77,151643.52
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,48.43,128.80,62782.02,166950.42
CZ04/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,60.05,165.59,77842.17,214645.90
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,53.79,94.05,41372.60,72335.42
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,53.52,93.19,41163.08,71671.88
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,54.09,94.99,41600.12,73055.97
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,53.78,94.02,41365.99,72314.47
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,54.62,96.67,42009.50,74352.48
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,55.37,99.06,42589.78,76190.24
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,56.53,102.71,43476.23,78997.62
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,58.51,108.98,44997.97,83816.96
CZ04/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,65.52,131.20,50394.26,100907.01
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,50.53,91.40,65499.29,118475.02
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,50.12,90.11,64972.19,116805.71
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,50.97,92.80,66071.67,120287.75
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,50.52,91.36,65482.65,118422.32
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,51.77,95.31,67101.56,123549.43
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,52.89,98.88,68561.42,128172.78
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,54.61,104.33,70791.50,135235.44
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,57.57,113.68,74619.80,147359.69
CZ04/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,68.04,146.85,88195.49,190353.91
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,39.01,84.98,30001.07,65362.37
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,37.86,81.36,29120.80,62574.53
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,39.77,87.40,30587.06,67218.19
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,39.30,85.90,30224.09,66068.67
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,38.10,82.11,29304.26,63155.57
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,40.34,89.21,31028.42,68615.98
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,41.07,91.52,31589.89,70394.15
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,42.09,94.74,32370.84,72867.40
CZ05/SFm&1&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,44.68,102.95,34364.91,79182.64
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE R22 R410a rDXHP Measure/instance-out.sql,33.23,80.51,43079.58,104355.57
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR R32 R454b rDXHP Measure/instance-out.sql,31.79,75.95,41213.19,98444.71
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,34.34,84.01,44512.66,108894.14
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE LSC R22 R410a rDXHP Base/instance-out.sql,33.65,81.82,43618.18,106061.30
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM NR LSC R32 R454b rDXHP Base/instance-out.sql,32.14,77.05,41663.12,99869.65
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +15% RCA LSC R22 R410a rDXHP Base/instance-out.sql,35.20,86.75,45633.13,112442.65
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base/instance-out.sql,36.35,90.37,47116.08,117139.16
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,38.03,95.69,49292.79,124032.80
CZ05/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,42.75,110.64,55412.45,143413.77
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,47.50,81.95,36532.70,63026.91
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,47.43,81.72,36478.75,62856.05
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,47.58,82.19,36591.28,63212.45
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,47.50,81.94,36531.00,63021.52
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,47.71,82.62,36696.70,63546.29
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,47.91,83.24,36846.12,64019.50
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,48.20,84.18,37074.37,64742.38
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,48.71,85.79,37466.21,65983.33
CZ05/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,50.52,91.51,38855.71,70383.89
