File Name,Net Site EUI (kWh/m2),Net Source EUI (kWh/m2),Total Energy/Net Site Energy (kWh),Total Energy/Net Source Energy (kWh)
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +30% RCA LSC R22 R410a rDXHP Base/instance-out.sql,64.65,169.20,57610.65,150777.26
CZ12/SFm&2&rDXHP&Ex&dxHP_equip/LRM AOE +40% RCA LSC R22 R410a rDXHP Base/instance-out.sql,77.79,210.82,69321.97,187867.03
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,45.00,81.32,34609.33,62543.07
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR R454b rDXGF Measure/instance-out.sql,44.84,80.81,34485.68,62151.48
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE LSC R22 R410a rDXGF Base/instance-out.sql,45.17,81.87,34743.60,62968.31
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM NR LSC R454b rDXGF Base/instance-out.sql,44.99,81.30,34605.42,62530.71
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,45.49,82.86,34985.19,63733.44
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +15% RCA LSC R22 R410a rDXGF Base/instance-out.sql,45.93,84.27,35327.65,64818.00
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base/instance-out.sql,46.61,86.43,35850.79,66474.78
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +30% RCA LSC R22 R410a rDXGF Base/instance-out.sql,47.78,90.13,36748.85,69318.93
CZ12/SFm&1&rDXGF&Ex&dxAC_equip/LRM AOE +40% RCA LSC R22 R410a rDXGF Base/instance-out.sql,51.92,103.24,39933.47,79404.64
CZ12/SFm&2&rDXGF&Ex&dxAC_equip/LRM AOE R22 R410a rDXGF Measure/instance-out.sql,68.18,123.46,60759.46,110018.90
