Name,Parameter,Value
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size Maximum Supply Air Temperature from Supplemental Heater,17
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Design Size No Load Supply Air Flow Rate,25
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Heating Speed 1 Supply Air Flow Rate,28
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Heating Speed 2 Supply Air Flow Rate,29
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Heating Speed 3 Supply Air Flow Rate,30
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Heating Speed 4 Supply Air Flow Rate,31
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,Maximum Supply Air Temperature from Supplemental Heater,17
AIRLOOPHVAC:UNITARYHEATPUMP:AIRTOAIR:MULTISPEED,No Load Supply Air Flow Rate,25
AIRLOOPHVAC:UNITARYHEATPUMP:WATERTOAIR,Design Size Maximum Supply Air Temperature from Supplemental Heater,21
AIRLOOPHVAC:UNITARYHEATPUMP:WATERTOAIR,Design Size Supply Air Flow Rate,5
AIRLOOPHVAC:UNITARYHEATPUMP:WATERTOAIR,Maximum Supply Air Temperature from Supplemental Heater,21
AIRLOOPHVAC:UNITARYHEATPUMP:WATERTOAIR,Supply Air Flow Rate,5
AIRLOOPHVAC:UNITARYSYSTEM,Cooling Supply Air Flow Rate,23
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Cooling Supply Air Flow Rate,23
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Heating Supply Air Flow Rate,28
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Maximum Supply Air Temperature,39
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Minimum Supply Air Temperature,18
AIRLOOPHVAC:UNITARYSYSTEM,Design Size No Load Supply Air Flow Rate,33
AIRLOOPHVAC:UNITARYSYSTEM,Heating Supply Air Flow Rate,28
AIRLOOPHVAC:UNITARYSYSTEM,Maximum Supply Air Temperature,39
AIRLOOPHVAC:UNITARYSYSTEM,Minimum Supply Air Temperature,18
AIRLOOPHVAC:UNITARYSYSTEM,No Load Supply Air Flow Rate,33
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Supply Air Flow Rate,nil
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Heating Supply Air Flow Rate,28
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Cooling Supply Air Flow Rate,23
AIRLOOPHVAC:UNITARYSYSTEM,Design Size No Load Supply Air Flow Rate,33
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Nominal Cooling Capacity,nil
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Nominal Heating Capacity,nil
AIRLOOPHVAC:UNITARYSYSTEM,Design Size Maximum Supply Air Temperature,39
AIRLOOPHVAC:UNITARYSYSTEM,Fraction of Supply Air Flow That Goes Through the Controlling Zone,nil
AIRTERMINAL:DUALDUCT:CONSTANTVOLUME,Design Size Maximum Air Flow Rate,6
AIRTERMINAL:DUALDUCT:CONSTANTVOLUME,Maximum Air Flow Rate,6
AIRTERMINAL:DUALDUCT:VAV,Design Size Maximum Damper Air Flow Rate,6
AIRTERMINAL:DUALDUCT:VAV,Maximum Damper Air Flow Rate,6
AIRTERMINAL:DUALDUCT:VAV:OUTDOORAIR,Design Size Maximum Terminal Air Flow Rate,6
AIRTERMINAL:DUALDUCT:VAV:OUTDOORAIR,Maximum Terminal Air Flow Rate,6
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:COOLEDBEAM,Beam Length,11
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:COOLEDBEAM,Design Size Beam Length,11
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:COOLEDBEAM,Design Size Maximum Total Chilled Water Volumetric Flow Rate,9
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:COOLEDBEAM,Design Size Number of Beams,10
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:COOLEDBEAM,Design Size Supply Air Volumetric Flow Rate,8
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:COOLEDBEAM,Maximum Total Chilled Water Volumetric Flow Rate,9
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:COOLEDBEAM,Number of Beams,10
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:COOLEDBEAM,Supply Air Volumetric Flow Rate,8
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEBEAM,Design Chilled Water Volume Flow Rate,12
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEBEAM,Design Hot Water Volume Flow Rate,13
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEBEAM,Design Primary Air Volume Flow Rate,11
AIRTERMINAL:SINGLEDUCT:CONSTANTVOLUME:FOURPIPEBEAM,Design Size Design Chilled Water Volume Flow Rate,12
