Component Type,Input Field Description
AirTerminal:SingleDuct:ConstantVolume:Reheat,User-Specified Maximum Reheat Water Flow Rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Fan On Flow Fraction
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Reheat Coil Inlet Air Temperature
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Secondary Air Flow Rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Primary Air Flow Rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Reheat Coil Inlet Air Humidity Ratio
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Maximum Reheat Water Flow Rate
AirTerminal:SingleDuct:ParallelPIU:Reheat,Design Size Minimum Primary Air Flow Fraction
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Reheat Coil Inlet Air Humidity Ratio
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Reheat Water Flow Rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Air Flow Rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Maximum Primary Air Flow Rate
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Reheat Coil Inlet Air Temperature
AirTerminal:SingleDuct:SeriesPIU:Reheat,Design Size Minimum Primary Air Flow Fraction
AirTerminal:SingleDuct:VAV:HeatAndCool:NoReheat,Design Size Constant Minimum Air Flow Fraction
AirTerminal:SingleDuct:VAV:HeatAndCool:NoReheat,Design Size Maximum Air Flow Rate
AirTerminal:SingleDuct:VAV:HeatAndCool:NoReheat,Design Size Minimum Air Flow Rate
AirTerminal:SingleDuct:VAV:HeatAndCool:NoReheat,User-Specified Constant Minimum Air Flow Fraction
AirTerminal:SingleDuct:VAV:HeatAndCool:Reheat,Design Size Maximum Air Flow Rate
AirTerminal:SingleDuct:VAV:HeatAndCool:Reheat,Design Size Maximum Flow per Zone Floor Area during Reheat
AirTerminal:SingleDuct:VAV:HeatAndCool:Reheat,Design Size Constant Minimum Air Flow Fraction
AirTerminal:SingleDuct:VAV:HeatAndCool:Reheat,Design Size Maximum Flow Fraction during Reheat
AirTerminal:SingleDuct:VAV:HeatAndCool:Reheat,Design Size Minimum Air Flow Rate
