Component Type,Input Field Description
ZoneHVAC:PackagedTerminalHeatPump,User-Specified Outdoor Air Flow Rate During Heating Operation
ZoneHVAC:PackagedTerminalHeatPump,User-Specified Maximum Supply Air Temperature from Supplemental Heater
ZoneHVAC:PackagedTerminalHeatPump,User-Specified No Load Supply Air Flow Rate
ZoneHVAC:PackagedTerminalHeatPump,Design Size Heating Supply Air Flow Rate
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size Cooling Supply Air Flow Rate
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size Maximum Supply Air Temperature from Supplemental Heater
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Fraction of Supply Air Flow That Goes Through the Controlling Zone
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size No Cooling Supply Air Flow Rate
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size Outdoor Air Flow Rate During Cooling Operation
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size No Heating Supply Air Flow Rate
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size Outdoor Air Flow Rate When No Cooling or Heating Heating is Needed
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size Outdoor Air Flow Rate When No Cooling or Heating is Needed
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size Outdoor Air Flow Rate During Heating Operation
ZoneHVAC:TerminalUnit:VariableRefrigerantFlow,Design Size Heating Supply Air Flow Rate
ZoneHVAC:UnitHeater,Design Size Maximum Supply Air Flow Rate
ZoneHVAC:UnitHeater,Design Size Maximum Hot Water Flow
ZoneHVAC:UnitHeater,User-Specified Maximum Hot Water Flow
ZoneHVAC:UnitHeater,User-Specified Maximum Supply Air Flow Rate
ZoneHVAC:UnitVentilator,User-Specified Maximum Hot Water Flow
ZoneHVAC:UnitVentilator,Design Size Maximum Cold Water Flow
ZoneHVAC:UnitVentilator,Design Size Maximum Hot Water Flow
ZoneHVAC:UnitVentilator,User-Specified Minimum Outdoor Air Flow Rate
ZoneHVAC:UnitVentilator,User-Specified Maximum Outdoor Air Flow Rate
ZoneHVAC:UnitVentilator,Design Size Maximum Supply Air Flow Rate
ZoneHVAC:UnitVentilator,Design Size Maximum Outdoor Air Flow Rate
ZoneHVAC:UnitVentilator,User-Specified Maximum Cold Water Flow
ZoneHVAC:UnitVentilator,Design Size Minimum Outdoor Air Flow Rate
ZoneHVAC:UnitVentilator,User-Specified Maximum Supply Air Flow Rate
ZoneHVAC:VentilatedSlab,User-Specified Maximum Air Flow Rate
ZoneHVAC:VentilatedSlab,User-Specified Maximum Cold Water Flow
ZoneHVAC:VentilatedSlab,User-Specified Maximum Hot Water Flow
ZoneHVAC:VentilatedSlab,User-Specified Maximum Outdoor Air Flow Rate
ZoneHVAC:VentilatedSlab,User-Specified Minimum Outdoor Air Flow Rate
ZoneHVAC:WaterToAirHeatPump,Design Size Cooling Supply Air Flow Rate
ZoneHVAC:WaterToAirHeatPump,Design Size Heating Supply Air Flow Rate
ZoneHVAC:WaterToAirHeatPump,Design Size No Load Supply Air Flow Rate
ZoneHVAC:WaterToAirHeatPump,User-Specified No Load Supply Air Flow Rate
ZoneHVAC:WaterToAirHeatPump,Design Size Outdoor Air Flow Rate When No Cooling or Heating is Needed
ZoneHVAC:WaterToAirHeatPump,User-Specified Maximum Supply Air Temperature from Supplemental Heater
ZoneHVAC:WaterToAirHeatPump,Design Size Outdoor Air Flow Rate During Heating Operation
ZoneHVAC:WaterToAirHeatPump,Design Size Maximum Supply Air Temperature from Supplemental Heater
ZoneHVAC:WaterToAirHeatPump,Design Size Outdoor Air Flow Rate During Cooling Operation
ZoneHVAC:WindowAirConditioner,Maximum Outdoor Air Flow Rate
ZoneHVAC:WindowAirConditioner,Design Size Maximum Supply Air Flow Rate
ZoneHVAC:WindowAirConditioner,User-Specified Maximum Supply Air Flow Rate
