File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Site Energy,Net Source EUI,Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Water Systems NG,Electricity,Natural Gas,Unmet Heating,Unmet Cooling,Electricity:Facility [J](Hourly)
runs/CZ12/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond/instance-out.sql,CZ12,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,441.15,2049070.68,1369.5,6361169.72,2049070.69,151569.48,48754.72,249218.65,0.0,177584.03,0.0,155274.47,3.38,0.0,0.0,0.0,58952.27,1207713.67,0.0,0.0,48754.72,151569.48,0.0,177584.03,0.0,58952.27,1838548.94,210521.75,0.0,0.0,1325839667.7821171
runs/CZ11/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond/instance-out.sql,CZ11,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,463.19,2151453.84,1447.21,6722096.54,2151453.84,145848.31,76206.2,249218.65,0.0,177584.03,0.0,159245.71,3.38,0.0,0.0,0.0,56401.7,1286945.86,0.0,0.0,76206.2,145848.31,0.0,177584.03,0.0,56401.7,1949203.83,202250.01,0.0,0.0,1421984772.5959938
runs/CZ11/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-EvapCond/instance-out.sql,CZ11,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,261.92,1216576.16,772.8,3589539.14,1216576.1600000001,150238.17,75005.4,249218.65,0.0,177584.03,0.0,159243.89,3.38,0.0,0.0,0.0,56401.7,348880.93,0.0,0.0,75005.4,150238.17,0.0,177584.03,0.0,56401.7,1009936.29,206639.87,0.0,0.0,764907750.7259998
runs/CZ11/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond/instance-out.sql,CZ11,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,247.14,1147927.01,755.28,3508190.42,1147927.02,85720.33,96711.43,249218.65,0.0,177584.03,0.0,163384.34,3.38,0.0,0.0,0.0,56401.69,318903.16,0.0,0.0,96711.43,85720.33,0.0,177584.03,0.0,56401.69,1005804.99,142122.03,0.0,0.0,798592243.1308546
runs/CZ11/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond/instance-out.sql,CZ11,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-EvapCond,265.8,1234597.11,787.92,3659795.08,1234597.1099999999,145848.31,76206.2,249218.65,0.0,177584.03,0.0,159245.71,3.38,0.0,0.0,0.0,56401.7,370089.13,0.0,0.0,76206.2,145848.31,0.0,177584.03,0.0,56401.7,1032347.1,202250.01,0.0,0.0,776670886.7393835
runs/CZ11/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond/instance-out.sql,CZ11,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,348.13,1617034.31,1092.61,5075008.78,1617034.31,85720.33,96711.43,249218.65,0.0,177584.03,0.0,163384.34,3.38,0.0,0.0,0.0,56401.69,788010.45,0.0,0.0,96711.43,85720.33,0.0,177584.03,0.0,56401.69,1474912.28,142122.03,0.0,0.0,1099638291.901958
runs/CZ10/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-AirCond/instance-out.sql,CZ10,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,463.97,2155100.42,1491.83,6929375.47,2155100.42,62133.63,62317.34,249218.65,0.0,177584.03,0.0,143181.03,3.38,0.0,0.0,0.0,55031.62,1405630.73,0.0,0.0,62317.34,62133.63,0.0,177584.03,0.0,55031.62,2037935.17,117165.25,0.0,0.0,1339028982.3577068
runs/CZ10/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond/instance-out.sql,CZ10,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-Flrsnt-AirCond,470.73,2186469.57,1515.76,7040522.25,2186469.57,59353.95,63572.06,249218.65,0.0,177584.03,0.0,142694.48,3.38,0.0,0.0,0.0,55031.62,1439011.39,0.0,0.0,63572.06,59353.95,0.0,177584.03,0.0,55031.62,2072084.0,114385.57,0.0,0.0,1349721708.1812928
runs/CZ11/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-AirCond/instance-out.sql,CZ11,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-AirCond,455.94,2117789.9,1420.83,6599593.04,2117789.9,150238.17,75005.4,249218.65,0.0,177584.03,0.0,159243.89,3.38,0.0,0.0,0.0,56401.7,1250094.67,0.0,0.0,75005.4,150238.17,0.0,177584.03,0.0,56401.7,1911150.03,206639.87,0.0,0.0,1410442004.4652655
runs/CZ10/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Open-LED-EvapCond/instance-out.sql,CZ10,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Open-LED-EvapCond,241.1,1119857.68,747.42,3471664.73,1119857.6800000002,62133.63,62317.34,249218.65,0.0,177584.03,0.0,143181.03,3.38,0.0,0.0,0.0,55031.62,370387.99,0.0,0.0,62317.34,62133.63,0.0,177584.03,0.0,55031.62,1002692.43,117165.25,0.0,0.0,701175354.0471941
runs/CZ09/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond/instance-out.sql,CZ09,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,346.31,1608582.61,1115.68,5182165.07,1608582.61,27359.69,73691.19,249218.65,0.0,177584.03,0.0,146125.45,3.38,0.0,0.0,0.0,55719.62,878880.59,0.0,0.0,73691.19,27359.69,0.0,177584.03,0.0,55719.62,1525503.3,83079.31,0.0,1.17,894847081.3613503
runs/CZ10/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond/instance-out.sql,CZ10,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-AirCond,349.08,1621412.19,1125.71,5228762.9,1621412.19,26413.57,86717.88,249218.65,0.0,177584.03,0.0,143932.18,3.38,0.0,0.0,0.0,55031.61,882510.88,0.0,0.0,86717.88,26413.57,0.0,177584.03,0.0,55031.61,1539967.0,81445.19,0.0,2.0,1019234875.3687396
runs/CZ09/Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay/NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond/instance-out.sql,CZ09,Gro,0,cDXGF,Ex,Ref_Storage,VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,Gro&0&cDXGF&Ex&Ref_Storage__VertDisplay,NE-Ref_Storage-VertDisplay-Glassdoor-LED-EvapCond,230.52,1070756.68,728.94,3385826.45,1070756.68,27359.69,73691.19,249218.65,0.0,177584.03,0.0,146125.45,3.38,0.0,0.0,0.0,55719.62,341054.66,0.0,0.0,73691.19,27359.69,0.0,177584.03,0.0,55719.62,987677.37,83079.31,0.0,1.17,616634730.4804361
