File,Bldg,CZ,TechID,MappedRun,srcHeat,srcCool,srcFan,fileHeat,fileCool,fileFan,MATCH
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5% UC AOE,WEIGHTED: LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base | LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,0.0,2914.41,833.4944,0.0,2914.41,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-22.5% UC AOE,WEIGHTED: LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base | LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,0.0,2914.41,833.4944,0.0,2914.41,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30% UC AOE,WEIGHTED: LRM AOE +30% RCA LSC R22 R410a rDXGF Base | LRM AOE +30% RCA LSC R22 R410a rDXGF Base,0.0,3958.738,833.4944,0.0,3958.738,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-30% UC AOE,WEIGHTED: LRM AOE +30% RCA LSC R22 R410a rDXGF Base | LRM AOE +30% RCA LSC R22 R410a rDXGF Base,0.0,3958.738,833.4944,0.0,3958.738,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40% UC AOE,WEIGHTED: LRM AOE +40% RCA LSC R22 R410a rDXGF Base | LRM AOE +40% RCA LSC R22 R410a rDXGF Base,0.0,7662.0648,833.4944,0.0,7662.0648,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40% UC AOE,WEIGHTED: LRM AOE +40% RCA LSC R22 R410a rDXGF Base | LRM AOE +40% RCA LSC R22 R410a rDXGF Base,0.0,7662.0648,833.4944,0.0,7662.0648,833.4944,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5% UC AOE,WEIGHTED: LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base | LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,9533.6168,1905.6004,1215.4264,9533.6168,1905.6004,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5% UC AOE,WEIGHTED: LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base | LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,9533.6168,1905.6004,1215.4264,9533.6168,1905.6004,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC AOE,WEIGHTED: LRM AOE LSC R22 R410a rDXHP Base | LRM AOE LSC R22 R410a rDXHP Base,9049.5972,1624.1508,1215.4264,9049.5972,1624.1508,1215.4264,Y
UEC_kWhBase.csv,SFm,2,RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0% UC AOE,WEIGHTED: LRM AOE LSC R22 R410a rDXHP Base | LRM AOE LSC R22 R410a rDXHP Base,9049.5972,1624.1508,1215.4264,9049.5972,1624.1508,1215.4264,Y
