PA,bldgtype,bldgloc,bldghvac,wtval
Any,DMo,CZ13,rNCEF ,0.01
Any,DMo,CZ13,rNCEH,0.01
Any,DMo,CZ13,rNCGF,397.5
Any,DMo,CZ13,rNCOH,2706.0
Any,DMo,CZ14,rDXEF,56.6
Any,DMo,CZ14,rDXEH,0.01
Any,DMo,CZ14,rDXGF,1286.7
Any,DMo,CZ14,rDXHP,113.6
Any,DMo,CZ14,rDXHW,0.01
Any,DMo,CZ14,rDXOH,635.0
Any,DMo,CZ14,rDXWP,0.01
Any,DMo,CZ14,rEVEF,163.0
Any,DMo,CZ14,rEVEH,0.01
Any,DMo,CZ14,rEVGF,2639.4
Any,DMo,CZ14,rEVOH,888.6
Any,DMo,CZ14,rNCEF ,0.01
Any,DMo,CZ14,rNCEH,0.01
Any,DMo,CZ14,rNCGF,399.5
Any,DMo,CZ14,rNCOH,749.5
Any,DMo,CZ15,rDXEF,521.7
Any,DMo,CZ15,rDXEH,0.01
Any,DMo,CZ15,rDXGF,7480.8
Any,DMo,CZ15,rDXHP,534.5
Any,DMo,CZ15,rDXHW,0.01
Any,DMo,CZ15,rDXOH,851.6
Any,DMo,CZ15,rDXWP,0.01
Any,DMo,CZ15,rEVEF,0.01
Any,DMo,CZ15,rEVEH,0.01
Any,DMo,CZ15,rEVGF,597.5
Any,DMo,CZ15,rEVOH,638.6
Any,DMo,CZ15,rNCEF ,0.01
Any,DMo,CZ15,rNCEH,0.01
Any,DMo,CZ15,rNCGF,0.01
Any,DMo,CZ15,rNCOH,700.2
Any,DMo,CZ16,rDXEF,21.1
Any,DMo,CZ16,rDXEH,72.6
Any,DMo,CZ16,rDXGF,277.7
Any,DMo,CZ16,rDXHP,106.3
Any,DMo,CZ16,rDXHW,0.01
Any,DMo,CZ16,rDXOH,6251.4
Any,DMo,CZ16,rDXWP,0.01
Any,DMo,CZ16,rEVEF,0.01
Any,DMo,CZ16,rEVEH,0.01
Any,DMo,CZ16,rEVGF,0.01
Any,DMo,CZ16,rEVOH,688.8
Any,DMo,CZ16,rNCEF ,0.01
Any,DMo,CZ16,rNCEH,0.01
Any,DMo,CZ16,rNCGF,22.8
Any,DMo,CZ16,rNCOH,614.4
Any,MFm,CZ01,rDXEF,0.01
Any,MFm,CZ01,rDXEH,0.01
Any,MFm,CZ01,rDXGF,230.4
Any,MFm,CZ01,rDXHP,196.0
Any,MFm,CZ01,rDXHW,0.01
Any,MFm,CZ01,rDXOH,0.01
Any,MFm,CZ01,rDXWP,0.01
Any,MFm,CZ01,rEVEF,0.01
Any,MFm,CZ01,rEVEH,0.01
Any,MFm,CZ01,rEVGF,0.01
Any,MFm,CZ01,rEVOH,174.4
Any,MFm,CZ01,rNCEF ,0.01
Any,MFm,CZ01,rNCEH,0.01
Any,MFm,CZ01,rNCGF,0.01
Any,MFm,CZ01,rNCOH,0.01
Any,MFm,CZ02,rDXEF,872.2
Any,MFm,CZ02,rDXEH,147.3
Any,MFm,CZ02,rDXGF,13271.1
Any,MFm,CZ02,rDXHP,802.0
Any,MFm,CZ02,rDXHW,0.01
Any,MFm,CZ02,rDXOH,2393.7
Any,MFm,CZ02,rDXWP,0.01
Any,MFm,CZ02,rEVEF,64.0
Any,MFm,CZ02,rEVEH,0.01
Any,MFm,CZ02,rEVGF,0.01
Any,MFm,CZ02,rEVOH,189.0
Any,MFm,CZ02,rNCEF ,133.5
Any,MFm,CZ02,rNCEH,455.6
Any,MFm,CZ02,rNCGF,2435.8
Any,MFm,CZ02,rNCOH,11652.0
Any,MFm,CZ03,rDXEF,16205.2
Any,MFm,CZ03,rDXEH,8445.2
Any,MFm,CZ03,rDXGF,20199.1
Any,MFm,CZ03,rDXHP,1449.8
Any,MFm,CZ03,rDXHW,166.4
Any,MFm,CZ03,rDXOH,24660.8
Any,MFm,CZ03,rDXWP,0.01
Any,MFm,CZ03,rEVEF,115.2
Any,MFm,CZ03,rEVEH,0.01
Any,MFm,CZ03,rEVGF,0.01
Any,MFm,CZ03,rEVOH,68.9
Any,MFm,CZ03,rNCEF ,438.8
Any,MFm,CZ03,rNCEH,7950.7
Any,MFm,CZ03,rNCGF,5843.4
Any,MFm,CZ03,rNCOH,21301.1
Any,MFm,CZ04,rDXEF,18715.2
Any,MFm,CZ04,rDXEH,8630.4
Any,MFm,CZ04,rDXGF,21938.8
Any,MFm,CZ04,rDXHP,5413.1
Any,MFm,CZ04,rDXHW,600.7
Any,MFm,CZ04,rDXOH,21134.8
Any,MFm,CZ04,rDXWP,0.01
Any,MFm,CZ04,rEVEF,0.01
Any,MFm,CZ04,rEVEH,273.8
Any,MFm,CZ04,rEVGF,0.01
Any,MFm,CZ04,rEVOH,0.01
Any,MFm,CZ04,rNCEF ,3399.8
Any,MFm,CZ04,rNCEH,2795.0
Any,MFm,CZ04,rNCGF,5685.3
Any,MFm,CZ04,rNCOH,10298.1
Any,MFm,CZ05,rDXEF,0.01
Any,MFm,CZ05,rDXEH,0.01
Any,MFm,CZ05,rDXGF,4277.2
Any,MFm,CZ05,rDXHP,0.01
Any,MFm,CZ05,rDXHW,0.01
Any,MFm,CZ05,rDXOH,157.3
Any,MFm,CZ05,rDXWP,0.01
Any,MFm,CZ05,rEVEF,0.01
Any,MFm,CZ05,rEVEH,0.01
Any,MFm,CZ05,rEVGF,0.01
Any,MFm,CZ05,rEVOH,0.01
Any,MFm,CZ05,rNCEF ,0.01
Any,MFm,CZ05,rNCEH,0.01
Any,MFm,CZ05,rNCGF,233.5
Any,MFm,CZ05,rNCOH,110.4
Any,MFm,CZ06,rDXEF,8584.4
Any,MFm,CZ06,rDXEH,2654.2
Any,MFm,CZ06,rDXGF,65758.7
Any,MFm,CZ06,rDXHP,10461.4
Any,MFm,CZ06,rDXHW,73.0
Any,MFm,CZ06,rDXOH,19890.7
Any,MFm,CZ06,rDXWP,0.01
Any,MFm,CZ06,rEVEF,88.1
Any,MFm,CZ06,rEVEH,81.7
Any,MFm,CZ06,rEVGF,40.2
Any,MFm,CZ06,rEVOH,374.9
Any,MFm,CZ06,rNCEF ,2395.0
Any,MFm,CZ06,rNCEH,13956.4
Any,MFm,CZ06,rNCGF,9800.3
Any,MFm,CZ06,rNCOH,55468.5
Any,MFm,CZ07,rDXEF,21142.8
Any,MFm,CZ07,rDXEH,6642.9
Any,MFm,CZ07,rDXGF,41978.7
Any,MFm,CZ07,rDXHP,14505.5
Any,MFm,CZ07,rDXHW,209.6
Any,MFm,CZ07,rDXOH,25370.5
Any,MFm,CZ07,rDXWP,0.01
Any,MFm,CZ07,rEVEF,0.01
Any,MFm,CZ07,rEVEH,67.7
Any,MFm,CZ07,rEVGF,93.8
Any,MFm,CZ07,rEVOH,218.2
Any,MFm,CZ07,rNCEF ,3205.5
Any,MFm,CZ07,rNCEH,15577.7
Any,MFm,CZ07,rNCGF,1487.9
Any,MFm,CZ07,rNCOH,19902.1
Any,MFm,CZ08,rDXEF,47858.3
Any,MFm,CZ08,rDXEH,9374.6
Any,MFm,CZ08,rDXGF,62888.9
Any,MFm,CZ08,rDXHP,20659.7
Any,MFm,CZ08,rDXHW,2576.6
Any,MFm,CZ08,rDXOH,27024.7
Any,MFm,CZ08,rDXWP,0.01
Any,MFm,CZ08,rEVEF,740.1
Any,MFm,CZ08,rEVEH,148.3
Any,MFm,CZ08,rEVGF,12201.6
Any,MFm,CZ08,rEVOH,15422.2
Any,MFm,CZ08,rNCEF ,333.8
Any,MFm,CZ08,rNCEH,16985.0
Any,MFm,CZ08,rNCGF,4426.1
Any,MFm,CZ08,rNCOH,81020.2
Any,MFm,CZ09,rDXEF,61797.7
Any,MFm,CZ09,rDXEH,30119.3
Any,MFm,CZ09,rDXGF,148598.0
Any,MFm,CZ09,rDXHP,59675.9
Any,MFm,CZ09,rDXHW,1145.8
Any,MFm,CZ09,rDXOH,73598.3
Any,MFm,CZ09,rDXWP,0.01
Any,MFm,CZ09,rEVEF,1715.1
Any,MFm,CZ09,rEVEH,0.01
Any,MFm,CZ09,rEVGF,591.6
Any,MFm,CZ09,rEVOH,5893.0
Any,MFm,CZ09,rNCEF ,2202.8
Any,MFm,CZ09,rNCEH,15901.9
Any,MFm,CZ09,rNCGF,10703.4
Any,MFm,CZ09,rNCOH,178496.0
Any,MFm,CZ10,rDXEF,26669.0
Any,MFm,CZ10,rDXEH,8540.8
Any,MFm,CZ10,rDXGF,51593.4
Any,MFm,CZ10,rDXHP,19163.9
Any,MFm,CZ10,rDXHW,483.1
Any,MFm,CZ10,rDXOH,53959.8
Any,MFm,CZ10,rDXWP,0.01
Any,MFm,CZ10,rEVEF,0.01
Any,MFm,CZ10,rEVEH,0.01
Any,MFm,CZ10,rEVGF,312.3
Any,MFm,CZ10,rEVOH,481.2
Any,MFm,CZ10,rNCEF ,0.01
Any,MFm,CZ10,rNCEH,1466.7
Any,MFm,CZ10,rNCGF,850.2
Any,MFm,CZ10,rNCOH,17793.6
Any,MFm,CZ11,rDXEF,5353.0
Any,MFm,CZ11,rDXEH,673.4
Any,MFm,CZ11,rDXGF,24407.9
Any,MFm,CZ11,rDXHP,3098.5
Any,MFm,CZ11,rDXHW,74.6
Any,MFm,CZ11,rDXOH,2930.1
Any,MFm,CZ11,rDXWP,0.01
Any,MFm,CZ11,rEVEF,152.3
Any,MFm,CZ11,rEVEH,0.01
Any,MFm,CZ11,rEVGF,131.6
Any,MFm,CZ11,rEVOH,467.8
Any,MFm,CZ11,rNCEF ,0.01
Any,MFm,CZ11,rNCEH,2898.0
Any,MFm,CZ11,rNCGF,0.01
Any,MFm,CZ11,rNCOH,9495.2
Any,MFm,CZ12,rDXEF,38027.4
Any,MFm,CZ12,rDXEH,3338.1
Any,MFm,CZ12,rDXGF,47975.3
Any,MFm,CZ12,rDXHP,36127.6
Any,MFm,CZ12,rDXHW,564.8
Any,MFm,CZ12,rDXOH,31344.6
Any,MFm,CZ12,rDXWP,0.01
Any,MFm,CZ12,rEVEF,195.9
Any,MFm,CZ12,rEVEH,162.0
Any,MFm,CZ12,rEVGF,256.5
Any,MFm,CZ12,rEVOH,5477.7
Any,MFm,CZ12,rNCEF ,261.0
Any,MFm,CZ12,rNCEH,1078.8
Any,MFm,CZ12,rNCGF,11225.1
Any,MFm,CZ12,rNCOH,33221.2
Any,MFm,CZ13,rDXEF,16202.6
Any,MFm,CZ13,rDXEH,3024.1
Any,MFm,CZ13,rDXGF,51049.2
Any,MFm,CZ13,rDXHP,10681.0
Any,MFm,CZ13,rDXHW,3275.8
Any,MFm,CZ13,rDXOH,23402.9
Any,MFm,CZ13,rDXWP,0.01
Any,MFm,CZ13,rEVEF,38.9
Any,MFm,CZ13,rEVEH,0.01
Any,MFm,CZ13,rEVGF,129.5
