pa,bldgtype,bldgloc,bldghvac,wtval
Any,MFm,CZ13,rDXOH,3150.2000
Any,MFm,CZ13,rNCEH,155.2000
Any,MFm,CZ13,rNCGF,1079.1000
Any,MFm,CZ13,rNCOH,134.6000
Any,MFm,CZ14,rDXGF,8449.1000
Any,MFm,CZ14,rDXHP,1215.0000
Any,MFm,CZ14,rDXOH,1053.6000
Any,MFm,CZ14,rNCEH,0.0000
Any,MFm,CZ14,rNCGF,0.0000
Any,MFm,CZ14,rNCOH,0.0000
Any,MFm,CZ15,rDXGF,19114.9000
Any,MFm,CZ15,rDXHP,2748.6000
Any,MFm,CZ15,rDXOH,2383.7000
Any,MFm,CZ15,rNCEH,30.2000
Any,MFm,CZ15,rNCGF,209.8000
Any,MFm,CZ15,rNCOH,26.2000
Any,MFm,CZ16,rDXGF,4334.5000
Any,MFm,CZ16,rDXHP,623.3000
Any,MFm,CZ16,rDXOH,540.5000
Any,MFm,CZ16,rNCEH,132.9000
Any,MFm,CZ16,rNCGF,924.2000
Any,MFm,CZ16,rNCOH,115.3000
Any,SFm,CZ01,rDXGF,345.7000
Any,SFm,CZ01,rDXHP,19.9000
Any,SFm,CZ01,rDXOH,27.8000
Any,SFm,CZ01,rNCEH,1562.8000
Any,SFm,CZ01,rNCGF,27193.0000
Any,SFm,CZ01,rNCOH,2187.9000
Any,SFm,CZ02,rDXGF,58933.5000
Any,SFm,CZ02,rDXHP,3387.0000
Any,SFm,CZ02,rDXOH,4741.8000
Any,SFm,CZ02,rNCEH,5495.4000
Any,SFm,CZ02,rNCGF,95620.3000
Any,SFm,CZ02,rNCOH,7693.6000
Any,SFm,CZ03,rDXGF,65011.3000
Any,SFm,CZ03,rDXHP,3736.3000
Any,SFm,CZ03,rDXOH,5230.8000
Any,SFm,CZ03,rNCEH,26313.1000
Any,SFm,CZ03,rNCGF,457847.4000
Any,SFm,CZ03,rNCOH,36838.3000
Any,SFm,CZ04,rDXGF,79995.6000
Any,SFm,CZ04,rDXHP,4597.5000
Any,SFm,CZ04,rDXOH,6436.5000
Any,SFm,CZ04,rNCEH,4323.3000
Any,SFm,CZ04,rNCGF,75225.0000
Any,SFm,CZ04,rNCOH,6052.6000
Any,SFm,CZ05,rDXGF,6468.2000
Any,SFm,CZ05,rDXHP,371.7000
Any,SFm,CZ05,rDXOH,520.4000
Any,SFm,CZ05,rNCEH,1772.4000
Any,SFm,CZ05,rNCGF,30840.4000
Any,SFm,CZ05,rNCOH,2481.4000
Any,SFm,CZ06,rDXGF,94027.4000
Any,SFm,CZ06,rDXHP,5403.9000
Any,SFm,CZ06,rDXOH,7565.4000
Any,SFm,CZ06,rNCEH,8217.1000
Any,SFm,CZ06,rNCGF,142978.3000
Any,SFm,CZ06,rNCOH,11504.0000
Any,SFm,CZ07,rDXGF,56122.2000
Any,SFm,CZ07,rDXHP,3225.4000
Any,SFm,CZ07,rDXOH,4515.6000
Any,SFm,CZ07,rNCEH,6972.6000
Any,SFm,CZ07,rNCGF,121323.3000
Any,SFm,CZ07,rNCOH,9761.7000
Any,SFm,CZ08,rDXGF,139828.0000
Any,SFm,CZ08,rDXHP,8036.1000
Any,SFm,CZ08,rDXOH,11250.5000
Any,SFm,CZ08,rNCEH,7748.0000
Any,SFm,CZ08,rNCGF,134814.8000
Any,SFm,CZ08,rNCOH,10847.2000
Any,SFm,CZ09,rDXGF,389247.9000
Any,SFm,CZ09,rDXHP,22370.6000
Any,SFm,CZ09,rDXOH,31318.8000
Any,SFm,CZ09,rNCEH,5971.2000
Any,SFm,CZ09,rNCGF,103898.1000
Any,SFm,CZ09,rNCOH,8359.6000
Any,SFm,CZ10,rDXGF,296621.8000
Any,SFm,CZ10,rDXHP,17047.3000
Any,SFm,CZ10,rDXOH,23866.1000
Any,SFm,CZ10,rNCEH,1694.2000
Any,SFm,CZ10,rNCGF,29478.3000
Any,SFm,CZ10,rNCOH,2371.8000
Any,SFm,CZ11,rDXGF,166500.3000
Any,SFm,CZ11,rDXHP,9569.0000
Any,SFm,CZ11,rDXOH,13396.6000
Any,SFm,CZ11,rNCEH,739.1000
Any,SFm,CZ11,rNCGF,12859.7000
Any,SFm,CZ11,rNCOH,1034.7000
Any,SFm,CZ12,rDXGF,479843.7000
Any,SFm,CZ12,rDXHP,27577.2000
Any,SFm,CZ12,rDXOH,38608.1000
Any,SFm,CZ12,rNCEH,4070.8000
Any,SFm,CZ12,rNCGF,70831.2000
Any,SFm,CZ12,rNCOH,5699.1000
Any,SFm,CZ13,rDXGF,116887.6000
Any,SFm,CZ13,rDXHP,6717.7000
Any,SFm,CZ13,rDXOH,9404.8000
Any,SFm,CZ13,rNCEH,243.8000
Any,SFm,CZ13,rNCGF,4242.7000
Any,SFm,CZ13,rNCOH,341.4000
Any,SFm,CZ14,rDXGF,81564.6000
Any,SFm,CZ14,rDXHP,4687.6000
Any,SFm,CZ14,rDXOH,6562.7000
Any,SFm,CZ14,rNCEH,180.6000
Any,SFm,CZ14,rNCGF,3142.4000
Any,SFm,CZ14,rNCOH,252.8000
Any,SFm,CZ15,rDXGF,21061.0000
Any,SFm,CZ15,rDXHP,1210.4000
Any,SFm,CZ15,rDXOH,1694.5000
Any,SFm,CZ15,rNCEH,10.8000
Any,SFm,CZ15,rNCGF,188.4000
Any,SFm,CZ15,rNCOH,15.2000
Any,SFm,CZ16,rDXGF,32610.4000
Any,SFm,CZ16,rDXHP,1874.2000
Any,SFm,CZ16,rDXOH,2623.8000
Any,SFm,CZ16,rNCEH,1122.1000
Any,SFm,CZ16,rNCGF,19524.6000
Any,SFm,CZ16,rNCOH,1571.0000
