pa,bldgtype,era,bldgloc,sum_bldg
Any,EUn,New,CZ15,0.062
Any,EUn,New,CZ16,0.139
Any,Gro,Ex,CZ01,1.185
Any,Gro,Ex,CZ02,8.653
Any,Gro,Ex,CZ03,30.1
Any,Gro,Ex,CZ04,13.504
Any,Gro,Ex,CZ05,4.082
Any,Gro,Ex,CZ06,55.946
Any,Gro,Ex,CZ07,21.966
Any,Gro,Ex,CZ08,81.523
Any,Gro,Ex,CZ09,57.526
Any,Gro,Ex,CZ10,67.854
Any,Gro,Ex,CZ11,8.217
Any,Gro,Ex,CZ12,26.295
Any,Gro,Ex,CZ13,26.916
Any,Gro,Ex,CZ14,14.007
Any,Gro,Ex,CZ15,8.273
Any,Gro,Ex,CZ16,6.916
Any,Gro,New,CZ01,0.009
Any,Gro,New,CZ02,0.068
Any,Gro,New,CZ03,0.218
Any,Gro,New,CZ04,0.11
Any,Gro,New,CZ05,0.035
Any,Gro,New,CZ06,0.558
Any,Gro,New,CZ07,0.288
Any,Gro,New,CZ08,0.809
Any,Gro,New,CZ09,0.59
Any,Gro,New,CZ10,1.122
Any,Gro,New,CZ11,0.095
Any,Gro,New,CZ12,0.271
Any,Gro,New,CZ13,0.345
Any,Gro,New,CZ14,0.222
Any,Gro,New,CZ15,0.141
Any,Gro,New,CZ16,0.102
Any,HGR,Ex,CZ01,0.968
Any,HGR,Ex,CZ02,4.481
Any,HGR,Ex,CZ03,26.98
Any,HGR,Ex,CZ04,9.46
Any,HGR,Ex,CZ05,4.275
Any,HGR,Ex,CZ06,41.03
Any,HGR,Ex,CZ07,20.354
Any,HGR,Ex,CZ08,28.398
Any,HGR,Ex,CZ09,32.179
Any,HGR,Ex,CZ10,9.062
Any,HGR,Ex,CZ11,2.541
Any,HGR,Ex,CZ12,8.772
Any,HGR,Ex,CZ13,6.77
Any,HGR,Ex,CZ14,3.509
Any,HGR,Ex,CZ15,17.54
Any,HGR,Ex,CZ16,5.442
Any,HGR,New,CZ01,0.01
Any,HGR,New,CZ02,0.042
Any,HGR,New,CZ03,0.125
Any,HGR,New,CZ04,0.093
Any,HGR,New,CZ05,0.041
Any,HGR,New,CZ06,0.28
Any,HGR,New,CZ07,0.323
Any,HGR,New,CZ08,0.195
Any,HGR,New,CZ09,0.29
Any,HGR,New,CZ10,0.145
Any,HGR,New,CZ11,0.027
Any,HGR,New,CZ12,0.105
Any,HGR,New,CZ13,0.074
Any,HGR,New,CZ14,0.052
Any,HGR,New,CZ15,0.278
Any,HGR,New,CZ16,0.069
Any,Hsp,Ex,CZ01,0.778
Any,Hsp,Ex,CZ02,6.521
Any,Hsp,Ex,CZ03,19.306
Any,Hsp,Ex,CZ04,8.845
Any,Hsp,Ex,CZ05,3.392
Any,Hsp,Ex,CZ06,32.917
Any,Hsp,Ex,CZ07,12.934
Any,Hsp,Ex,CZ08,37.23
Any,Hsp,Ex,CZ09,32.043
Any,Hsp,Ex,CZ10,20.658
Any,Hsp,Ex,CZ11,4.547
Any,Hsp,Ex,CZ12,14.933
Any,Hsp,Ex,CZ13,15.072
Any,Hsp,Ex,CZ14,3.261
Any,Hsp,Ex,CZ15,3.802
Any,Hsp,Ex,CZ16,2.664
Any,Hsp,New,CZ01,0.006
Any,Hsp,New,CZ02,0.053
Any,Hsp,New,CZ03,0.146
Any,Hsp,New,CZ04,0.075
Any,Hsp,New,CZ05,0.023
Any,Hsp,New,CZ06,0.214
Any,Hsp,New,CZ07,0.083
Any,Hsp,New,CZ08,0.247
Any,Hsp,New,CZ09,0.255
Any,Hsp,New,CZ10,0.247
Any,Hsp,New,CZ11,0.045
Any,Hsp,New,CZ12,0.148
Any,Hsp,New,CZ13,0.153
Any,Hsp,New,CZ14,0.039
Any,Hsp,New,CZ15,0.048
Any,Hsp,New,CZ16,0.03
Any,Htl,Ex,CZ01,0.968
Any,Htl,Ex,CZ02,4.481
Any,Htl,Ex,CZ03,26.98
Any,Htl,Ex,CZ04,9.46
Any,Htl,Ex,CZ05,4.275
Any,Htl,Ex,CZ06,41.03
Any,Htl,Ex,CZ07,20.354
Any,Htl,Ex,CZ08,28.398
Any,Htl,Ex,CZ09,32.179
Any,Htl,Ex,CZ10,9.062
Any,Htl,Ex,CZ11,2.541
Any,Htl,Ex,CZ12,8.772
Any,Htl,Ex,CZ13,6.77
Any,Htl,Ex,CZ14,3.509
Any,Htl,Ex,CZ15,17.54
Any,Htl,Ex,CZ16,5.442
Any,Htl,New,CZ01,0.01
Any,Htl,New,CZ02,0.042
Any,Htl,New,CZ03,0.125
Any,Htl,New,CZ04,0.093
Any,Htl,New,CZ05,0.041
Any,Htl,New,CZ06,0.28
Any,Htl,New,CZ07,0.323
Any,Htl,New,CZ08,0.195
Any,Htl,New,CZ09,0.29
Any,Htl,New,CZ10,0.145
Any,Htl,New,CZ11,0.027
Any,Htl,New,CZ12,0.105
Any,Htl,New,CZ13,0.074
Any,Htl,New,CZ14,0.052
Any,Htl,New,CZ15,0.278
Any,Htl,New,CZ16,0.069
Any,MBT,Ex,CZ01,1.084
Any,MBT,Ex,CZ02,10.34
Any,MBT,Ex,CZ03,51.454
Any,MBT,Ex,CZ04,28.022
Any,MBT,Ex,CZ05,4.307
Any,MBT,Ex,CZ06,85.434
Any,MBT,Ex,CZ07,19.953
Any,MBT,Ex,CZ08,125.837
Any,MBT,Ex,CZ09,84.042
Any,MBT,Ex,CZ10,80.135
Any,MBT,Ex,CZ11,7.826
Any,MBT,Ex,CZ12,30.02
Any,MBT,Ex,CZ13,27.438
Any,MBT,Ex,CZ14,15.591
Any,MBT,Ex,CZ15,25.638
Any,MBT,Ex,CZ16,10.764
Any,MBT,New,CZ01,0.009
Any,MBT,New,CZ02,0.067
Any,MBT,New,CZ03,0.261
Any,MBT,New,CZ04,0.199
Any,MBT,New,CZ05,0.032
Any,MBT,New,CZ06,0.781
Any,MBT,New,CZ07,0.286
Any,MBT,New,CZ08,1.142
Any,MBT,New,CZ09,0.74
Any,MBT,New,CZ10,1.607
Any,MBT,New,CZ11,0.081
Any,MBT,New,CZ12,0.26
Any,MBT,New,CZ13,0.304
Any,MBT,New,CZ14,0.248
Any,MBT,New,CZ15,0.533
Any,MBT,New,CZ16,0.169
Any,MLI,Ex,CZ01,1.084
Any,MLI,Ex,CZ02,10.34
Any,MLI,Ex,CZ03,51.454
Any,MLI,Ex,CZ04,28.022
Any,MLI,Ex,CZ05,4.307
Any,MLI,Ex,CZ06,85.434
Any,MLI,Ex,CZ07,19.953
Any,MLI,Ex,CZ08,125.837
Any,MLI,Ex,CZ09,84.042
Any,MLI,Ex,CZ10,80.135
Any,MLI,Ex,CZ11,7.826
Any,MLI,Ex,CZ12,30.02
Any,MLI,Ex,CZ13,27.438
Any,MLI,Ex,CZ14,15.591
Any,MLI,Ex,CZ15,25.638
Any,MLI,Ex,CZ16,10.764
Any,MLI,New,CZ01,0.009
Any,MLI,New,CZ02,0.067
Any,MLI,New,CZ03,0.261
Any,MLI,New,CZ04,0.199
Any,MLI,New,CZ05,0.032
Any,MLI,New,CZ06,0.781
Any,MLI,New,CZ07,0.286
Any,MLI,New,CZ08,1.142
Any,MLI,New,CZ09,0.74
Any,MLI,New,CZ10,1.607
Any,MLI,New,CZ11,0.081
Any,MLI,New,CZ12,0.26
Any,MLI,New,CZ13,0.304
Any,MLI,New,CZ14,0.248
Any,MLI,New,CZ15,0.533
Any,MLI,New,CZ16,0.169
Any,Mtl,Ex,CZ01,0.968
Any,Mtl,Ex,CZ02,4.481
Any,Mtl,Ex,CZ03,26.98
Any,Mtl,Ex,CZ04,9.46
Any,Mtl,Ex,CZ05,4.275
Any,Mtl,Ex,CZ06,41.03
Any,Mtl,Ex,CZ07,20.354
Any,Mtl,Ex,CZ08,28.398
Any,Mtl,Ex,CZ09,32.179
Any,Mtl,Ex,CZ10,9.062
Any,Mtl,Ex,CZ11,2.541
Any,Mtl,Ex,CZ12,8.772
Any,Mtl,Ex,CZ13,6.77
Any,Mtl,Ex,CZ14,3.509
Any,Mtl,Ex,CZ15,17.54
Any,Mtl,Ex,CZ16,5.442
Any,Mtl,New,CZ01,0.01
Any,Mtl,New,CZ02,0.042
Any,Mtl,New,CZ03,0.125
Any,Mtl,New,CZ04,0.093
Any,Mtl,New,CZ05,0.041
Any,Mtl,New,CZ06,0.28
Any,Mtl,New,CZ07,0.323
Any,Mtl,New,CZ08,0.195
Any,Mtl,New,CZ09,0.29
Any,Mtl,New,CZ10,0.145
Any,Mtl,New,CZ11,0.027
Any,Mtl,New,CZ12,0.105
Any,Mtl,New,CZ13,0.074
Any,Mtl,New,CZ14,0.052
Any,Mtl,New,CZ15,0.278
Any,Mtl,New,CZ16,0.069
Any,Nrs,Ex,CZ01,0.778
Any,Nrs,Ex,CZ02,6.521
Any,Nrs,Ex,CZ03,19.306
Any,Nrs,Ex,CZ04,8.845
Any,Nrs,Ex,CZ05,3.392
Any,Nrs,Ex,CZ06,32.917
Any,Nrs,Ex,CZ07,12.934
Any,Nrs,Ex,CZ08,37.23
Any,Nrs,Ex,CZ09,32.043
Any,Nrs,Ex,CZ10,20.658
Any,Nrs,Ex,CZ11,4.547
Any,Nrs,Ex,CZ12,14.933
Any,Nrs,Ex,CZ13,15.072
Any,Nrs,Ex,CZ14,3.261
Any,Nrs,Ex,CZ15,3.802
Any,Nrs,Ex,CZ16,2.664
Any,Nrs,New,CZ01,0.006
Any,Nrs,New,CZ02,0.053
Any,Nrs,New,CZ03,0.146
Any,Nrs,New,CZ04,0.075
Any,Nrs,New,CZ05,0.023
Any,Nrs,New,CZ06,0.214
Any,Nrs,New,CZ07,0.083
Any,Nrs,New,CZ08,0.247
Any,Nrs,New,CZ09,0.255
