File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
File Name,Total (kWh),Heating (kWh),Cooling (kWh),Interior Lighting (kWh),Exterior Lighting (kWh),Interior Equipment (kWh),Exterior Equipment (kWh),Fans (kWh),Pumps (kWh),Heat Rejection (kWh),Humidification (kWh),Heat Recovery (kWh),Water Systems (kWh),Refrigeration (kWh),Generators (kWh),Heating Elec (kWh),Cooling Elec (kWh),Heating NG (kWh),Cooling NG (kWh),Interior Equipment Elec (kWh),Interior Equipment NG (kWh)
CZ01/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,475850.7,16392.34,10461.1,63471.11,0.0,124743.49,0.0,173658.41,0.0,0.0,0.0,0.0,87124.26,0.0,0.0,0.0,10461.1,16392.34,0.0,82070.96,42672.53
CZ01/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,455581.86,27518.97,10204.88,63471.11,0.0,124743.49,0.0,142519.93,0.0,0.0,0.0,0.0,87123.48,0.0,0.0,0.0,10204.88,27518.97,0.0,82070.96,42672.53
CZ01/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,12305.89,372.96,4.94,2170.58,0.0,2139.72,0.0,3937.73,0.0,0.0,0.0,0.0,3679.96,0.0,0.0,372.96,4.94,0.0,0.0,2139.72,0.0
CZ01/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,14583.3,754.02,8.69,2170.58,0.0,2139.72,0.0,5830.4,0.0,0.0,0.0,0.0,3679.89,0.0,0.0,754.02,8.69,0.0,0.0,2139.72,0.0
CZ01/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1311324.87,135639.11,17123.77,197273.03,0.0,322422.45,0.0,385687.17,0.0,0.0,0.0,0.0,253179.35,0.0,0.0,0.0,17123.77,135639.11,0.0,258328.15,64094.3
CZ01/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1368983.26,148429.57,16494.08,197273.03,0.0,322422.45,0.0,431187.41,0.0,0.0,0.0,0.0,253176.72,0.0,0.0,0.0,16494.08,148429.57,0.0,258328.15,64094.3
CZ02/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,525542.4299999999,8970.49,34890.22,63471.11,0.0,124743.49,0.0,213514.95,0.0,0.0,0.0,0.0,79952.17,0.0,0.0,0.0,34890.22,8970.49,0.0,82070.96,42672.53
CZ02/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,479035.28,15397.98,34491.62,63471.11,0.0,124743.49,0.0,160990.9,0.0,0.0,0.0,0.0,79940.18,0.0,0.0,0.0,34491.62,15397.98,0.0,82070.96,42672.53
CZ02/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,16144.630000000001,130.6,643.04,2170.58,0.0,2139.72,0.0,7635.68,0.0,0.0,0.0,0.0,3425.01,0.0,0.0,130.6,643.04,0.0,0.0,2139.72,0.0
CZ02/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,16230.49,397.26,878.33,2170.58,0.0,2139.72,0.0,7219.62,0.0,0.0,0.0,0.0,3424.98,0.0,0.0,397.26,878.33,0.0,0.0,2139.72,0.0
CZ02/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1376798.32,82760.38,77001.2,197273.03,0.0,322422.45,0.0,464750.04,0.0,0.0,0.0,0.0,232591.23,0.0,0.0,0.0,77001.2,82760.38,0.0,258328.15,64094.3
CZ02/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1421240.6099999999,93110.54,86578.6,197273.03,0.0,322422.45,0.0,489283.57,0.0,0.0,0.0,0.0,232572.41,0.0,0.0,0.0,86578.6,93110.54,0.0,258328.15,64094.3
CZ03/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,497982.93,4730.13,22358.55,63471.11,0.0,124743.49,0.0,202966.49,0.0,0.0,0.0,0.0,79713.15,0.0,0.0,0.0,22358.55,4730.13,0.0,82070.96,42672.53
CZ03/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,452457.68000000005,7743.94,22150.37,63471.11,0.0,124743.49,0.0,154637.08,0.0,0.0,0.0,0.0,79711.68,0.0,0.0,0.0,22150.37,7743.94,0.0,82070.96,42672.53
CZ03/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,12635.23,96.62,188.11,2170.58,0.0,2139.72,0.0,4623.02,0.0,0.0,0.0,0.0,3417.17,0.0,0.0,96.62,188.11,0.0,0.0,2139.72,0.0
CZ03/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,14860.96,201.89,358.06,2170.58,0.0,2139.72,0.0,6573.59,0.0,0.0,0.0,0.0,3417.12,0.0,0.0,201.89,358.06,0.0,0.0,2139.72,0.0
CZ03/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1283468.59,51635.11,44216.99,197273.03,0.0,322422.45,0.0,436188.0,0.0,0.0,0.0,0.0,231733.03,0.0,0.0,0.0,44216.99,51635.11,0.0,258328.15,64094.3
CZ03/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1334644.46,56148.2,48929.66,197273.03,0.0,322422.45,0.0,478151.6,0.0,0.0,0.0,0.0,231719.54,0.0,0.0,0.0,48929.66,56148.2,0.0,258328.15,64094.3
CZ04/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,537192.75,4075.74,41785.85,63471.11,0.0,124743.49,0.0,226225.8,0.0,0.0,0.0,0.0,76890.76,0.0,0.0,0.0,41785.85,4075.74,0.0,82070.96,42672.53
CZ04/EPr&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,475859.36000000004,6522.39,40979.78,63471.11,0.0,124743.49,0.0,163273.05,0.0,0.0,0.0,0.0,76869.55,0.0,0.0,0.0,40979.78,6522.39,0.0,82070.96,42672.53
CZ04/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP/instance-out.sql,13822.26,77.69,752.02,2170.58,0.0,2139.72,0.0,5365.6,0.0,0.0,0.0,0.0,3316.64,0.0,0.0,77.69,752.02,0.0,0.0,2139.72,0.0
CZ04/ERC&0&cDXHP&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXHP-NoOccSens/instance-out.sql,16085.619999999999,163.88,1147.77,2170.58,0.0,2139.72,0.0,7147.09,0.0,0.0,0.0,0.0,3316.57,0.0,0.0,163.88,1147.77,0.0,0.0,2139.72,0.0
CZ04/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF/instance-out.sql,1331053.61,45471.79,92457.82,197273.03,0.0,322422.45,0.0,449684.55,0.0,0.0,0.0,0.0,223743.98,0.0,0.0,0.0,92457.82,45471.79,0.0,258328.15,64094.3
CZ04/ESe&0&cDXGF&Ex&HV_Tech__OccSens/NE-HV_Tech-OccSens-cDXGF-NoOccSens/instance-out.sql,1384249.59,49575.44,104305.99,197273.03,0.0,322422.45,0.0,486965.25,0.0,0.0,0.0,0.0,223707.43,0.0,0.0,0.0,104305.99,49575.44,0.0,258328.15,64094.3
