Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
ECC,M1,CZ12,cDXHP,0,52693925512.03,49126030084.47,0,141616213332.42,928912907494.97,,,,
ECC,M1,CZ13,cDXHP,0,47753603329.68,122342005872.7,0,111027173969.2,1436248899702.87,,,,
ECC,M1,CZ14,cDXHP,0,33894787016.43,94091677424.63,0,105675352206.81,1352641284041.21,,,,
ECC,M1,CZ15,cDXHP,0,1807356036.88,335799322464.31,0,9567984308.57,2568338940882.16,,,,
ECC,M1,CZ16,cDXHP,0,75992796732.38,10825898388.34,0,296817857295.87,444318961050.4,,,,
ECC,M1,CZ01,cPTAC,0,0,26598997.27,0,0,25181531225.13,,,,
ECC,M1,CZ02,cPTAC,0,0,15858353769.25,0,0,552485395634.27,,,,
ECC,M1,CZ03,cPTAC,0,0,1779496505.76,0,0,265733038736.43,,,,
ECC,M1,CZ04,cPTAC,0,0,49143218501.58,0,0,924942962250.45,,,,
ECC,M1,CZ05,cPTAC,0,0,3975242221.13,0,0,358527860348.32,,,,
ECC,M1,CZ06,cPTAC,0,0,10968365026.34,0,0,681378079617.49,,,,
ECC,M1,CZ07,cPTAC,0,0,13095640068.72,0,0,732298116145.46,,,,
ECC,M1,CZ08,cPTAC,0,0,40850557147,0,0,1134472733548.29,,,,
ECC,M1,CZ09,cPTAC,0,0,53201624036.24,0,0,1131686557068.8,,,,
ECC,M1,CZ10,cPTAC,0,0,64912909544.36,0,0,1262045777159.61,,,,
ECC,M1,CZ11,cPTAC,0,0,121165068093.87,0,0,1355699326247.8,,,,
ECC,M1,CZ12,cPTAC,0,0,48771818664.89,0,0,924452952016.87,,,,
ECC,M1,CZ13,cPTAC,0,0,121820047965.49,0,0,1430026305423.84,,,,
ECC,M1,CZ14,cPTAC,0,0,93334545966.72,0,0,1335084891586.13,,,,
ECC,M1,CZ15,cPTAC,0,0,335700830857.59,0,0,2567107783422.93,,,,
ECC,M1,CZ16,cPTAC,0,0,10730851733.69,0,0,435387395375.21,,,,
ECC,M1,CZ01,cPVVG,162132173405.4,0,56035761.63,1159815787370.02,0,41490867734.05,,,,
ECC,M1,CZ02,cPVVG,221760344240.01,0,11597248698.91,892971076440.99,0,534539112182.1,,,,
ECC,M1,CZ03,cPVVG,104049232418.53,0,1396653414.84,500188083115.69,0,286262303265.71,,,,
ECC,M1,CZ04,cPVVG,197935638777.72,0,39534809944.42,729807470555.35,0,891085774213.57,,,,
ECC,M1,CZ05,cPVVG,73145804471.18,0,3345888436.15,465585970120.67,0,364867265487.49,,,,
ECC,M1,CZ06,cPVVG,2068186379.64,0,8220122374.43,105723951423.77,0,684978058545.75,,,,
ECC,M1,CZ07,cPVVG,0,0,9289946195.19,101127714782.79,0,709609443576.72,,,,
ECC,M1,CZ08,cPVVG,3854830008.71,0,30335356709.1,132085449773.12,0,1086639502241.94,,,,
ECC,M1,CZ09,cPVVG,25567296326.69,0,39109995621.82,198042021645.02,0,1075780259872.25,,,,
ECC,M1,CZ10,cPVVG,27672595110.96,0,49687669800.55,246960117315.18,0,1199649377021.9,,,,
ECC,M1,CZ11,cPVVG,263579955779.48,0,97178371826.41,840004016371.17,0,1288121106689.3,,,,
ECC,M1,CZ12,cPVVG,266155285458.78,0,38428963218.87,811132098995.07,0,890060805793.73,,,,
ECC,M1,CZ13,cPVVG,253457368873.62,0,95000677914.91,664373243898.56,0,1360323669616.6,,,,
ECC,M1,CZ14,cPVVG,155071893947.1,0,71478186063.54,580604909480.54,0,1269308089839.52,,,,
ECC,M1,CZ15,cPVVG,10760218423.5,0,271616193874.26,73927740631.97,0,2425722094903.08,,,,
ECC,M1,CZ16,cPVVG,322421481867,0,6484613293.94,1435333512242.07,0,419655772990.66,,,,
Epr,M1,CZ01,cDXGF,52863927973.07,0,409.06,282865650230.31,0,3034331706.3,,,,
Epr,M1,CZ02,cDXGF,54152591205.28,0,1597846867.27,188184220133.89,0,89545412079.71,,0.017843983629754877,,
Epr,M1,CZ03,cDXGF,25422718291.61,0,110169199.84,106137085018.87,0,42905760956.02,,,,
Epr,M1,CZ04,cDXGF,40553185045.67,0,7104541945.04,142574136896.04,0,156679875071.06,,,,
Epr,M1,CZ05,cDXGF,14577244553.33,0,117045505.51,90842275342.44,0,55228707068.18,,,,
Epr,M1,CZ06,cDXGF,141750390.86,0,350082928.57,18294704917.74,0,109217013449.21,,,,
Epr,M1,CZ07,cDXGF,0,0,482071677.66,17391717813.1,0,116803174580.25,,,,
Epr,M1,CZ08,cDXGF,728588213.3,0,4381389339.1,25396106283.15,0,186304334396.85,,,,
Epr,M1,CZ09,cDXGF,4883026733.81,0,6165992477.59,36109366974.43,0,185786779173.39,,0.13522881022167466,,0.033188542828633885
Epr,M1,CZ10,cDXGF,3565571038.01,0,7470999068.86,38571165441.95,0,206532470627.23,,0.09244136123851952,,0.03617348422827125
Epr,M1,CZ11,cDXGF,61962069293.03,0,18995082766.7,173646651957.01,0,231637925680.33,,0.3568284708902424,,0.08200333650420445
Epr,M1,CZ12,cDXGF,64989092128.37,0,7338212381.6,174695040693.48,0,156480253560.73,,0.37201452239505695,,0.04689545303396405
Epr,M1,CZ13,cDXGF,61712082463.2,0,19392523388.48,143641977392.84,0,246807624334.99,,0.4296242893846163,,0.07857343727014966
Epr,M1,CZ14,cDXGF,41906488102.41,0,14951067755.8,129115093868.06,0,231572003363.83,,0.32456691814229993,,0.06456336490862374
Epr,M1,CZ15,cDXGF,2685000177.32,0,53810467058.73,14695166733.99,0,447181529360.09,,0.18271314820195816,,0.12033249033280057
Epr,M1,CZ16,cDXGF,74284212214.6,0,1193604397.51,298999929632.53,0,71125784222.09,,0.2484422397888022,,0.01678159911436582
Epr,M1,CZ01,cDXHP,0,13772711730.01,434.73,0,69990959372.72,3004926478.96,,,,
Epr,M1,CZ02,cDXHP,0,14342807464.42,1611155457.27,0,48117522816.06,89840883949.86,,,,
