Building Type,Run Type,Climate Zone,System Type,Heating Gas Energy,Heating Electricity Energy,Cooling Energy,Heating Gas Total Energy,Heating Electricity Total Energy,Cooling Total Energy,,,,
Asm,M2,CZ15,cDXGF,0.0,0.0,7669528121.16,3448625.69,0.0,1240534673020.44,,,,
Asm,M2,CZ16,cDXGF,0.0,0.0,16898121.91,839768550.53,0.0,909630605711.57,,,,
Asm,M2,CZ01,cDXHP,0.0,0.0,0.0,0.0,78150960.08,790067630933.51,,,,
Asm,M2,CZ02,cDXHP,0.0,0.0,0.0,0.0,53015494.81,903392728767.23,,,,
Asm,M2,CZ03,cDXHP,0.0,0.0,0.0,0.0,12039881.97,875774874365.33,,,,
Asm,M2,CZ04,cDXHP,0.0,0.0,0.0,0.0,32149127.84,984493848232.63,,,,
Asm,M2,CZ05,cDXHP,0.0,0.0,0.0,0.0,8702635.8,888662339946.05,,,,
Asm,M2,CZ06,cDXHP,0.0,0.0,0.0,0.0,848117.69,948558938877.11,,,,
Asm,M2,CZ07,cDXHP,0.0,0.0,0.0,0.0,27828.35,949597967159.9,,,,
Asm,M2,CZ08,cDXHP,0.0,0.0,19617419.58,0.0,1255683.5,1010555483446.67,,,,
Asm,M2,CZ09,cDXHP,0.0,0.0,55071641.1,0.0,4092774.67,1024608179039.68,,,,
Asm,M2,CZ10,cDXHP,0.0,0.0,41932094.35,0.0,1874680.74,1028249029377.1,,,,
Asm,M2,CZ11,cDXHP,0.0,0.0,653339847.55,0.0,67258149.39,1028654398442.91,,,,
Asm,M2,CZ12,cDXHP,0.0,0.0,0.0,0.0,40236478.99,968774058833.34,,,,
Asm,M2,CZ13,cDXHP,0.0,0.0,1050299746.73,0.0,25333082.12,1056133260228.26,,,,
Asm,M2,CZ14,cDXHP,0.0,0.0,676236084.56,0.0,31883496.87,1056083261897.75,,,,
Asm,M2,CZ15,cDXHP,0.0,0.0,7669528121.16,0.0,914239.16,1240534673020.43,,,,
Asm,M2,CZ16,cDXHP,0.0,0.0,16705529.23,0.0,257893644.63,921767433179.0,,,,
Asm,M2,CZ01,cPTAC,0.0,0.0,0.0,0.0,0.0,775964820359.86,,,,
Asm,M2,CZ02,cPTAC,0.0,0.0,0.0,0.0,0.0,900143283716.15,,,,
Asm,M2,CZ03,cPTAC,0.0,0.0,0.0,0.0,0.0,868784252540.99,,,,
Asm,M2,CZ04,cPTAC,0.0,0.0,0.0,0.0,0.0,983724412030.35,,,,
Asm,M2,CZ05,cPTAC,0.0,0.0,0.0,0.0,0.0,881095054178.28,,,,
Asm,M2,CZ06,cPTAC,0.0,0.0,0.0,0.0,0.0,940438338882.04,,,,
Asm,M2,CZ07,cPTAC,0.0,0.0,0.0,0.0,0.0,943014355479.65,,,,
Asm,M2,CZ08,cPTAC,0.0,0.0,19618183.71,0.0,0.0,1008477111710.29,,,,
Asm,M2,CZ09,cPTAC,0.0,0.0,55057454.84,0.0,0.0,1023805909282.67,,,,
