TabularDataIndex,Value,ReportName,ReportForString,TableName,RowName,ColumnName,Units,File Name
4,2038199.98,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ04/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,46.0,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,585937.2,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,139.03,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,1771019.51,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,43.21,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,550466.5,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,129.71,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,1652265.32,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
6,46.6,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
2,593593.85,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
8,141.0,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
4,1796178.07,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ05/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-PumpCtrl-Full-Std/instance-out.sql
6,51.3,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
2,653528.6,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
8,159.75,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
4,2035012.54,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CHWPumpCtrl-Full-Msr/instance-out.sql
6,49.41,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
2,629425.12,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Site Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
8,153.41,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Energy Per Total Building Area,kWh/m2,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
4,1954220.18,AnnualBuildingUtilityPerformanceSummary,Entire Facility,Site and Source Energy,Net Source Energy,Total Energy,kWh,CZ06/Htl&0&cPVVE&New&Chiller__PumpCtrl/NE-Chiller-CWPumpCtrl-Full-Msr/instance-out.sql
