File Name,Net Site EUI (kWh/m2),Net Site Energy (kWh),Net Source EUI (kWh/m2),Net Source Energy (kWh)
CZ02/Hsp&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,78.21,3590009.02,222.61,10217468.76
CZ02/Hsp&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,78.10,3584716.99,222.21,10199366.12
CZ02/Hsp&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,77.93,3577058.80,221.65,10173372.93
CZ02/MBT&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,190.97,7095762.66,385.43,14321146.48
CZ02/MBT&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,190.85,7091145.80,385.01,14305441.86
CZ02/MBT&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,190.67,7084558.76,384.40,14283035.69
CZ02/MLI&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,92.09,855689.83,295.29,2743690.27
CZ02/MLI&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,91.43,849516.74,293.07,2723072.14
CZ02/MLI&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,90.48,840710.42,289.90,2693659.04
CZ02/Mtl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,53.16,148083.88,170.15,474016.64
CZ02/Mtl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,52.78,147045.30,168.91,470544.06
CZ02/Mtl&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,52.25,145562.32,167.13,465584.61
CZ02/Nrs&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,75.93,783008.59,205.46,2118699.67
CZ02/Nrs&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,75.78,781458.72,204.95,2113480.94
CZ02/Nrs&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-SynchVBelt-Msr/instance-out.sql,75.57,779257.98,204.23,2106005.66
CZ02/OfL&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-VBelt-Std/instance-out.sql,61.70,2005846.14,195.13,6343443.28
CZ02/OfL&0&rDXHP&New&HV_AirDist__SupFanMtr/NE-HVAC-FanBelt-CoggedVBelt-Msr/instance-out.sql,61.36,1994845.88,194.00,6306645.11
