File Name,BldgLoc,BldgType,Story,BldgHVAC,BldgVint,TechGroup,TechType,TechID,Cohort,Case,Net Site EUI,Net Site Energy,Net Source EUI,Net Source Energy,Total,Heating,Cooling,Interior Lighting,Exterior Lighting,Interior Equipment,Exterior Equipment,Fans,Pumps,Heat Rejection,Humidification,Heat Recovery,Water Systems,Refrigeration,Generators,Heating Elec,Cooling Elec,Heating NG,Cooling NG,Interior Equipment Elec,Interior Equipment NG,Water Systems NG,Electricity,Natural Gas,Unmet Heating,Unmet Cooling,Electricity:Facility [J](Hourly)
runs/CZ06/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler/instance-out.sql,CZ06,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,321.49,1493262.48,1031.45,4790956.07,1493262.48,28679.32,32326.92,249218.65,0.0,177584.03,0.0,112781.92,3.38,0.0,0.0,0.0,57033.99,835634.27,0.0,0.0,32326.92,28679.32,0.0,177584.03,0.0,57033.99,1407549.17,85713.31,0.0,0.0,859552454.9040157
runs/CZ07/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler/instance-out.sql,CZ07,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,322.59,1498372.13,1037.0,4816726.17,1498372.13,25454.42,34497.55,249218.65,0.0,177584.03,0.0,113645.25,3.38,0.0,0.0,0.0,56463.04,841505.8,0.0,0.0,34497.55,25454.42,0.0,177584.03,0.0,56463.04,1416454.67,81917.46,0.0,0.0,856216441.7969728
runs/CZ06/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Cooler/instance-out.sql,CZ06,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,422.41,1962039.05,1356.76,6301962.75,1962039.05,52537.63,22258.91,249218.65,0.0,177584.03,0.0,113120.76,3.38,0.0,0.0,0.0,57033.97,1290281.71,0.0,0.0,22258.91,52537.63,0.0,177584.03,0.0,57033.97,1852467.45,109571.6,0.0,0.0,1220016303.3247252
runs/CZ05/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler/instance-out.sql,CZ05,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Cooler,292.22,1357316.11,905.08,4203988.87,1357316.12,81888.63,14067.87,249218.65,0.0,177584.03,0.0,132956.77,3.38,0.0,0.0,0.0,61786.45,639810.34,0.0,0.0,14067.87,81888.63,0.0,177584.03,0.0,61786.45,1213641.04,143675.08,0.0,0.0,862041896.1814716
runs/CZ06/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Frz/instance-out.sql,CZ06,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,418.45,1943667.05,1342.96,6237893.73,1943667.05,53717.97,21939.72,249218.65,0.0,177584.03,0.0,113420.72,3.38,0.0,0.0,0.0,57033.98,1270748.6,0.0,0.0,21939.72,53717.97,0.0,177584.03,0.0,57033.98,1832915.1,110751.95,0.0,0.0,1217359423.6077929
runs/CZ06/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Frz/instance-out.sql,CZ06,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,321.26,1492219.83,1024.02,4756462.46,1492219.84,42203.6,24744.22,249218.65,0.0,177584.03,0.0,113792.72,3.38,0.0,0.0,0.0,57033.99,827639.24,0.0,0.0,24744.22,42203.6,0.0,177584.03,0.0,57033.99,1392982.25,99237.59,0.0,0.0,910894653.6852528
runs/CZ05/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-GlassDoor-Frz/instance-out.sql,CZ05,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-GlassDoor-Frz,304.84,1415919.43,932.18,4329841.06,1415919.43,112365.23,10439.32,249218.65,0.0,177584.03,0.0,128129.36,3.38,0.0,0.0,0.0,61786.47,676392.99,0.0,0.0,10439.32,112365.23,0.0,177584.03,0.0,61786.47,1241767.73,174151.7,0.0,0.0,920872199.6858197
runs/CZ05/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Cooler/instance-out.sql,CZ05,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,373.29,1733880.52,1149.86,5340935.72,1733880.53,134561.21,8955.21,249218.65,0.0,177584.03,0.0,125483.38,3.38,0.0,0.0,0.0,61786.47,976288.19,0.0,0.0,8955.21,134561.21,0.0,177584.03,0.0,61786.47,1537532.85,196347.68,0.0,0.0,1228831962.9743547
runs/CZ04/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Frz/instance-out.sql,CZ04,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Frz,391.33,1817696.3,1200.47,5576014.63,1817696.31,156098.02,49673.37,249218.65,0.0,177584.03,0.0,132018.04,3.38,0.0,0.0,0.0,59816.08,993284.74,0.0,0.0,49673.37,156098.02,0.0,177584.03,0.0,59816.08,1601782.21,215914.1,0.0,0.0,1305837738.3306367
runs/CZ03/Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz/NE-Ref_Storage-RefrigFrz-OpenCase-Cooler/instance-out.sql,CZ03,Gro,0,cDXGF,Ex,Ref_Storage,RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,Gro&0&cDXGF&Ex&Ref_Storage__RefrigFrz,NE-Ref_Storage-RefrigFrz-OpenCase-Cooler,357.21,1659180.39,1089.41,5060179.2,1659180.3900000001,148469.46,7695.97,249218.65,0.0,177584.03,0.0,124402.97,3.38,0.0,0.0,0.0,61510.18,890295.75,0.0,0.0,7695.97,148469.46,0.0,177584.03,0.0,61510.18,1449200.75,209979.64,0.0,0.0,1210645341.5237215
