Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,8.4673
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,14.8025
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,4.9589
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,4.4783
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,4.2112
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,4.2034
CZ08,DMo&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,3.9652
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,5.6401
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,6.6869
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,8.49
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,14.8025
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,4.9549
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,4.4735
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,4.2112
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,4.2018
CZ08,DMo&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,3.9652
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,6.5431
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,7.797
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,9.9497
CZ09,DMo&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,17.5831
