TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ07,7456.81,40475.15,2621.08
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ08,8625.55,110803.61,5488.12
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ09,16449.9,109454.35,6172.68
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ10,8438.01,111693.53,5134.45
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ11,16163.39,155532.6,7319.75
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ12,16033.4,68193.85,4236.27
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ13,23924.83,200269.43,9924.5
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ14,23244.1,118800.99,6892.28
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ15,6085.72,354223.45,12945.49
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,MFm,CZ16,28509.02,44575.62,5175.49
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ01,13243.37,1576.43,1325.04
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ02,21497.14,8286.03,3183.17
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ03,20454.81,10751.99,3814.86
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ04,33628.22,20406.96,6017.97
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ05,22335.57,9633.99,3751.19
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ06,11188.62,12619.14,3283.2
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ07,9046.86,10066.02,2621.08
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ08,10365.45,27556.45,5488.12
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ09,19824.74,27220.9,6172.68
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ10,10014.87,27777.77,5134.45
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ11,18906.88,38680.39,7319.75
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ12,18721.7,16959.56,4236.27
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,MFm,CZ13,28310.08,49806.28,9924.5
