Climate Zone,Cohort,Case,PeakHoursFound,Peak Demand (kW)
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXHP Base,15,26.6707
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE LSC R22 R410a rDXHP Base,15,24.7329
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE R22 R410a rDXHP Measure,15,23.677
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR LSC R32 R454b rDXHP Base,15,23.6395
CZ08,MFm&0&rDXHP&Ex&dxHP_equip,LRM NR R32 R454b rDXHP Measure,15,22.6869
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +15% RCA LSC R22 R410a rDXGF Base,15,30.7766
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXGF Base,15,35.3
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +30% RCA LSC R22 R410a rDXGF Base,15,43.0651
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +40% RCA LSC R22 R410a rDXGF Base,15,70.6015
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE +7.5% RCA LSC R22 R410a rDXGF Base,15,27.8155
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE LSC R22 R410a rDXGF Base,15,25.7265
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM AOE R22 R410a rDXGF Measure,15,24.5655
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR LSC R454b rDXGF Base,15,24.5317
CZ09,MFm&0&rDXGF&Ex&dxAC_equip,LRM NR R454b rDXGF Measure,15,23.4964
CZ09,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +15% RCA LSC R22 R410a rDXHP Base,15,30.7766
CZ09,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +22.5% RCA LSC R22 R410a rDXHP Base,15,35.3266
CZ09,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +30% RCA LSC R22 R410a rDXHP Base,15,43.1636
CZ09,MFm&0&rDXHP&Ex&dxHP_equip,LRM AOE +40% RCA LSC R22 R410a rDXHP Base,15,70.6015
