Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ05\Rt3\M4-cPVVG-Measure\instance0602030739\eplustbl.csv,M4,Rt3,CZ05,cPVVG,Measure,775901.33,861061.6899999998,11148.36,0.0,102477.06,165968.52,202107.83,11.5,4.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ06\Rt3\M4-cPVVG-Measure\instance0602043716\eplustbl.csv,M4,Rt3,CZ06,cPVVG,Measure,815626.86,759422.8500000001,11148.36,0.0,28776.32,264648.79,231663.83,5.33,43.33
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ07\Rt3\M4-cPVVG-Measure\instance0602060818\eplustbl.csv,M4,Rt3,CZ07,cPVVG,Measure,861780.9800000002,775898.7999999999,11148.36,0.0,25400.48,270074.96,235148.18,4.17,20.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ08\Rt3\M4-cPVVG-Measure\instance0602074614\eplustbl.csv,M4,Rt3,CZ08,cPVVG,Measure,958702.0099999999,836183.6799999999,11148.36,0.0,33225.76,356077.58,252786.05,5.17,37.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ09\Rt3\M4-cPVVG-Measure\instance0602092936\eplustbl.csv,M4,Rt3,CZ09,cPVVG,Measure,993168.2400000001,849277.6699999999,11148.36,0.0,48745.53,352966.54,257830.46,7.67,37.33
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ10\Rt3\M4-cPVVG-Measure\instance0602111425\eplustbl.csv,M4,Rt3,CZ10,cPVVG,Measure,1092164.1,898751.82,11148.36,0.0,63071.89,400550.3,271733.45,9.0,39.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ11\Rt3\M4-cPVVG-Measure\instance0602125438\eplustbl.csv,M4,Rt3,CZ11,cPVVG,Measure,1029431.9600000001,933966.31,11148.36,0.0,168120.52,378594.07,256303.63,14.5,29.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ12\Rt3\M4-cPVVG-Measure\instance0602142602\eplustbl.csv,M4,Rt3,CZ12,cPVVG,Measure,932248.1400000001,915158.1900000001,11148.36,0.0,165398.74,291447.64,235515.06,16.17,16.83
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ13\Rt3\M4-cPVVG-Measure\instance0602160554\eplustbl.csv,M4,Rt3,CZ13,cPVVG,Measure,1039886.9299999999,914126.54,11148.36,0.0,133442.77,400693.04,259802.76,11.67,26.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ14\Rt3\M4-cPVVG-Measure\instance0602140536\eplustbl.csv,M4,Rt3,CZ14,cPVVG,Measure,968880.1199999999,908530.84,11148.36,0.0,123186.1,382588.92,262548.0,13.33,31.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ15\Rt3\M4-cPVVG-Measure\instance0602044535\eplustbl.csv,M4,Rt3,CZ15,cPVVG,Measure,1186563.9,826854.1499999999,11148.36,0.0,17412.56,661044.73,291548.07,0.67,39.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ16\Rt3\M4-cPVVG-Measure\instance0601204451\eplustbl.csv,M4,Rt3,CZ16,cPVVG,Measure,910325.9399999998,894280.9099999999,11148.36,0.0,274631.16,173079.63,240584.24,18.17,2.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ01\Rt3\M5-cDXGF-Base\instance0601211043\eplustbl.csv,M5,Rt3,CZ01,cDXGF,Base,637658.2599999999,998575.8300000001,11148.36,0.0,41777.92,209849.25,106438.89,14.67,0.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ02\Rt3\M5-cDXGF-Base\instance0601223338\eplustbl.csv,M5,Rt3,CZ02,cDXGF,Base,826842.87,1145847.88,11148.36,0.0,53604.24,309547.23,137664.55,12.0,3.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ03\Rt3\M5-cDXGF-Base\instance0601235432\eplustbl.csv,M5,Rt3,CZ03,cDXGF,Base,731487.3300000001,1024660.42,11148.36,0.0,31105.81,276711.52,131006.56,10.0,0.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ04\Rt3\M5-cDXGF-Base\instance0602013403\eplustbl.csv,M5,Rt3,CZ04,cDXGF,Base,914751.8999999999,1192080.28,11148.36,0.0,49323.11,373883.84,154367.86,5.5,36.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ05\Rt3\M5-cDXGF-Base\instance0602030758\eplustbl.csv,M5,Rt3,CZ05,cDXGF,Base,748256.5599999999,1069657.57,11148.36,0.0,31644.75,286246.56,136538.46,9.17,4.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ06\Rt3\M5-cDXGF-Base\instance0602043748\eplustbl.csv,M5,Rt3,CZ06,cDXGF,Base,782366.8099999999,996107.25,11148.36,0.0,9050.11,365608.26,166641.66,1.17,38.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ07\Rt3\M5-cDXGF-Base\instance0602060854\eplustbl.csv,M5,Rt3,CZ07,cDXGF,Base,826155.3,1019803.2799999998,11148.36,0.0,8691.8,368609.49,163062.95,0.83,15.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ08\Rt3\M5-cDXGF-Base\instance0602074647\eplustbl.csv,M5,Rt3,CZ08,cDXGF,Base,922076.7699999999,1087847.28,11148.36,0.0,10706.22,432536.06,172796.85,1.17,33.83
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ09\Rt3\M5-cDXGF-Base\instance0602093007\eplustbl.csv,M5,Rt3,CZ09,cDXGF,Base,955205.3000000002,1102213.57,11148.36,0.0,15319.4,425437.14,170007.44,2.33,34.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ10\Rt3\M5-cDXGF-Base\instance0602111500\eplustbl.csv,M5,Rt3,CZ10,cDXGF,Base,1050073.35,1162066.25,11148.36,0.0,24757.65,463096.71,173318.44,4.83,35.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ11\Rt3\M5-cDXGF-Base\instance0602125508\eplustbl.csv,M5,Rt3,CZ11,cDXGF,Base,990043.9600000001,1184356.45,11148.36,0.0,47099.99,432401.59,160221.11,3.67,23.83
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ12\Rt3\M5-cDXGF-Base\instance0602142627\eplustbl.csv,M5,Rt3,CZ12,cDXGF,Base,896694.53,1157795.9300000002,11148.36,0.0,42891.53,375892.8,152234.15,6.0,15.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ13\Rt3\M5-cDXGF-Base\instance0602160622\eplustbl.csv,M5,Rt3,CZ13,cDXGF,Base,1000213.78,1166485.64,11148.36,0.0,32299.61,458000.58,166862.38,2.83,22.33
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ14\Rt3\M5-cDXGF-Base\instance0602140124\eplustbl.csv,M5,Rt3,CZ14,cDXGF,Base,934420.07,1137956.19,11148.36,0.0,28625.81,422778.91,168174.22,2.33,31.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ15\Rt3\M5-cDXGF-Base\instance0602044107\eplustbl.csv,M5,Rt3,CZ15,cDXGF,Base,1144649.72,1083974.42,11148.36,0.0,3344.19,646573.38,193336.09,0.83,35.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ16\Rt3\M5-cDXGF-Base\instance0601204113\eplustbl.csv,M5,Rt3,CZ16,cDXGF,Base,875150.9599999998,1102700.7000000002,11148.36,0.0,72930.48,270426.05,139858.93,10.0,0.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ01\Rt3\M5-cDXGF-Measure\instance0601211127\eplustbl.csv,M5,Rt3,CZ01,cDXGF,Measure,637658.2599999999,998575.8300000001,11148.36,0.0,41750.29,209847.42,106436.39,14.67,0.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ02\Rt3\M5-cDXGF-Measure\instance0601223449\eplustbl.csv,M5,Rt3,CZ02,cDXGF,Measure,826842.87,1145847.88,11148.36,0.0,53434.91,309532.23,137646.57,12.0,3.83
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ03\Rt3\M5-cDXGF-Measure\instance0601235522\eplustbl.csv,M5,Rt3,CZ03,cDXGF,Measure,731487.3300000001,1024660.42,11148.36,0.0,31064.48,276708.02,131002.3,10.0,0.17
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ04\Rt3\M5-cDXGF-Measure\instance0602013514\eplustbl.csv,M5,Rt3,CZ04,cDXGF,Measure,914751.8999999999,1192080.28,11148.36,0.0,49149.97,373861.56,154346.04,8.0,37.5
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ05\Rt3\M5-cDXGF-Measure\instance0602030901\eplustbl.csv,M5,Rt3,CZ05,cDXGF,Measure,748256.5599999999,1069657.57,11148.36,0.0,31591.75,286242.51,136533.14,9.17,4.67
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ06\Rt3\M5-cDXGF-Measure\instance0602043844\eplustbl.csv,M5,Rt3,CZ06,cDXGF,Measure,782366.8099999999,996107.25,11148.36,0.0,9048.2,365607.5,166641.12,1.17,38.0
C:\dev\DEER-Prototypes-EnergyPlus\commercial measures\SWHC062-02 Occupancy Fan Controller\SWHC062-02 Occupancy Fan Controller_Ex\runs\CZ07\Rt3\M5-cDXGF-Measure\instance0602060954\eplustbl.csv,M5,Rt3,CZ07,cDXGF,Measure,826155.3,1019803.2799999998,11148.36,0.0,8691.62,368608.71,163062.5,0.83,15.83
