Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
RFF,M5,cDXGF,Measure,CZ13,36.95444444444445,54800739.598919325
RFF,M5,cDXHP,Base,CZ13,36.95444444444445,54156756.23282201
RFF,M5,cDXHP,Measure,CZ13,36.95444444444445,54161379.3163307
RFF,M5,cPTAC,Base,CZ13,36.95444444444445,54795850.11420878
RFF,M5,cPTAC,Measure,CZ13,36.95444444444445,54800739.332027696
RFF,M5,cPVVG,Base,CZ13,36.95444444444445,54418301.494331606
RFF,M5,cPVVG,Measure,CZ13,36.95444444444445,54423264.81182366
Rt3,M1,cDXGF,Base,CZ13,36.95444444444445,2090274589.3910449
Rt3,M1,cDXGF,Measure,CZ13,36.95444444444445,2088343707.4503767
Rt3,M1,cDXHP,Base,CZ13,36.95444444444445,2111713647.2927198
Rt3,M1,cDXHP,Measure,CZ13,36.95444444444445,2109134148.2701192
Rt3,M1,cPTAC,Base,CZ13,36.95444444444445,2090274589.3910458
Rt3,M1,cPTAC,Measure,CZ13,36.95444444444445,2088343714.0309017
Rt3,M1,cPVVG,Base,CZ13,36.95444444444445,2037925608.6661339
Rt3,M1,cPVVG,Measure,CZ13,36.95444444444445,2041764698.1383226
Rt3,M2,cDXGF,Base,CZ13,36.95444444444445,1901081968.231796
Rt3,M2,cDXGF,Measure,CZ13,36.95444444444445,1893232339.060198
Rt3,M2,cDXHP,Base,CZ13,36.95444444444445,1902917548.3957646
Rt3,M2,cDXHP,Measure,CZ13,36.95444444444445,1894804865.0596387
Rt3,M2,cPTAC,Base,CZ13,36.95444444444445,1901081968.2317197
Rt3,M2,cPTAC,Measure,CZ13,36.95444444444445,1893232339.0601897
Rt3,M2,cPVVG,Base,CZ13,36.95444444444445,1792116229.1576638
Rt3,M2,cPVVG,Measure,CZ13,36.95444444444445,1785009880.5555568
Rt3,M3,cDXGF,Base,CZ13,36.95444444444445,1774334131.7194164
Rt3,M3,cDXGF,Measure,CZ13,36.95444444444445,1775199528.3041596
Rt3,M3,cDXHP,Base,CZ13,36.95444444444445,1760273170.1588244
Rt3,M3,cDXHP,Measure,CZ13,36.95444444444445,1761132814.4933767
Rt3,M3,cPTAC,Base,CZ13,36.95444444444445,1774334131.7193866
Rt3,M3,cPTAC,Measure,CZ13,36.95444444444445,1775199528.3040679
Rt3,M3,cPVVG,Base,CZ13,36.95444444444445,1758049548.8059616
Rt3,M3,cPVVG,Measure,CZ13,36.95444444444445,1758932524.9609544
Rt3,M4,cDXGF,Base,CZ13,36.95444444444445,2090273553.7364404
Rt3,M4,cDXGF,Measure,CZ13,36.95444444444445,2088342931.8855128
