Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
Asm,M5,cPVVG,Measure,CZ01,12.469444444444443,83040289.01232651
ECC,M1,cDXGF,Base,CZ01,12.469444444444443,10.878985684971417
ECC,M1,cDXGF,Measure,CZ01,12.469444444444443,100067.72398418335
ECC,M1,cDXHP,Base,CZ01,12.469444444444443,11.615264771846395
ECC,M1,cDXHP,Measure,CZ01,12.469444444444443,100516.42417842693
ECC,M1,cPTAC,Base,CZ01,12.469444444444443,0.8094276865135803
ECC,M1,cPTAC,Measure,CZ01,12.469444444444443,41556.92151308028
ECC,M1,cPVVG,Base,CZ01,12.469444444444443,136.7468965220355
ECC,M1,cPVVG,Measure,CZ01,12.469444444444443,1707494.5896188112
ECC,M2,cDXGF,Base,CZ01,12.469444444444443,124886629.37354149
ECC,M2,cDXGF,Measure,CZ01,12.469444444444443,93177056.74477242
ECC,M2,cDXHP,Base,CZ01,12.469444444444443,122741210.60204071
ECC,M2,cDXHP,Measure,CZ01,12.469444444444443,90842800.52396256
ECC,M2,cPTAC,Base,CZ01,12.469444444444443,124887080.54199861
ECC,M2,cPTAC,Measure,CZ01,12.469444444444443,93173103.78108643
ECC,M2,cPVVG,Base,CZ01,12.469444444444443,87468184.43929638
ECC,M2,cPVVG,Measure,CZ01,12.469444444444443,77663632.79782994
ECC,M3,cDXGF,Base,CZ01,12.469444444444443,80359779.99410102
ECC,M3,cDXGF,Measure,CZ01,12.469444444444443,80338238.34193368
ECC,M3,cDXHP,Base,CZ01,12.469444444444443,80024235.2690619
ECC,M3,cDXHP,Measure,CZ01,12.469444444444443,80002122.85943675
ECC,M3,cPTAC,Base,CZ01,12.469444444444443,80343159.65506233
ECC,M3,cPTAC,Measure,CZ01,12.469444444444443,80323245.9887415
ECC,M3,cPVVG,Base,CZ01,12.469444444444443,79321506.71948794
ECC,M3,cPVVG,Measure,CZ01,12.469444444444443,79300446.20025305
ECC,M4,cDXGF,Base,CZ01,12.469444444444443,9033060.581486875
ECC,M4,cDXGF,Measure,CZ01,12.469444444444443,21583204.57903296
ECC,M4,cDXHP,Base,CZ01,12.469444444444443,9094245.15321844
ECC,M4,cDXHP,Measure,CZ01,12.469444444444443,21592745.146907274
ECC,M4,cPTAC,Base,CZ01,12.469444444444443,8103092.573440712
ECC,M4,cPTAC,Measure,CZ01,12.469444444444443,20661817.912669968
ECC,M4,cPVVG,Base,CZ01,12.469444444444443,2796814.964902781
ECC,M4,cPVVG,Measure,CZ01,12.469444444444443,12688224.134570152
ECC,M5,cDXGF,Base,CZ01,12.469444444444443,63794507.88880625
ECC,M5,cDXGF,Measure,CZ01,12.469444444444443,63780205.9798954
ECC,M5,cDXHP,Base,CZ01,12.469444444444443,69744537.38631235
ECC,M5,cDXHP,Measure,CZ01,12.469444444444443,69726014.7746453
ECC,M5,cPTAC,Base,CZ01,12.469444444444443,63549981.86700814
ECC,M5,cPTAC,Measure,CZ01,12.469444444444443,63533653.53816905
ECC,M5,cPVVG,Base,CZ01,12.469444444444443,62976754.96704736
ECC,M5,cPVVG,Measure,CZ01,12.469444444444443,62961340.45987598
Epr,M1,cDXGF,Base,CZ01,12.469444444444443,34.383823708854685
Epr,M1,cDXGF,Measure,CZ01,12.469444444444443,0.0
Epr,M1,cDXHP,Base,CZ01,12.469444444444443,34.3773535513941
Epr,M1,cDXHP,Measure,CZ01,12.469444444444443,0.0
Epr,M1,cPTAC,Base,CZ01,12.469444444444443,0.0
Epr,M1,cPTAC,Measure,CZ01,12.469444444444443,0.0
Epr,M1,cPVVG,Base,CZ01,12.469444444444443,0.0
Epr,M1,cPVVG,Measure,CZ01,12.469444444444443,85357.88776202394
Epr,M2,cDXGF,Base,CZ01,12.469444444444443,18707941.089350794
