TechID,SizingID,BldgType,BldgVint,BldgLoc,BldgHVAC,tstat,normunit,numunits,measarea,kwh_tot,kwh_ltg,kwh_task,kwh_equip,kwh_htg,kwh_clg,kwh_twr,kwh_aux,kwh_vent,kwh_venthtg,kwh_ventclg,kwh_refg,kwh_hpsup,kwh_shw,kwh_ext,thm_tot,thm_equip,thm_htg,thm_shw,deskw_ltg,deskw_equ,lastmod
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ14,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2874725.0199999996,340017.04,0,936314.72,0.0,1178374.0,0,0,360358.15,0,0,0,0,0,0,6190.801023890785,2342.2389078498295,3848.5621160409555,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ15,cDXGF,0,Area-ft2-BA,299999.6,299999.6,3237312.3000000003,340017.04,0,936314.72,0.0,1545372.8,0,0,351872.18,0,0,0,0,0,0,3749.1897610921505,2342.2389078498295,1406.9508532423208,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,ECC,1975,CZ16,cDXGF,0,Area-ft2-BA,299999.6,299999.6,2464198.61,340017.04,0,936314.72,0.0,791386.91,0,0,347558.83,0,0,0,0,0,0,13483.909897610924,2342.2389078498295,11141.670989761093,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ01,cDXGF,0,Area-ft2-BA,50000.14,50000.14,221028.04,60650.73,0,82070.96,0.0,7939.95,0,0,70366.4,0,0,0,0,0,0,3445.735836177474,1456.4003412969282,1989.335494880546,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ02,cDXGF,0,Area-ft2-BA,50000.14,50000.14,236362.55000000002,60650.73,0,82070.96,0.0,27583.08,0,0,66057.78,0,0,0,0,0,0,2546.7662116040956,1456.4003412969282,1090.3658703071671,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ03,cDXGF,0,Area-ft2-BA,50000.14,50000.14,228229.36000000002,60650.73,0,82070.96,0.0,19994.42,0,0,65513.25,0,0,0,0,0,0,2109.654266211604,1456.4003412969282,653.2539249146757,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ04,cDXGF,0,Area-ft2-BA,50000.14,50000.14,239195.87000000002,60650.73,0,82070.96,0.0,32574.65,0,0,63899.53,0,0,0,0,0,0,2035.8320819112625,1456.4003412969282,579.4317406143344,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ05,cDXGF,0,Area-ft2-BA,50000.14,50000.14,229109.96000000002,60650.73,0,82070.96,0.0,23252.92,0,0,63135.35,0,0,0,0,0,0,2051.883276450512,1456.4003412969282,595.4829351535836,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ06,cDXGF,0,Area-ft2-BA,50000.14,50000.14,236384.08000000002,60650.73,0,82070.96,0.0,35363.67,0,0,58298.72,0,0,0,0,0,0,1581.8600682593856,1456.4003412969282,125.45972696245732,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ07,cDXGF,0,Area-ft2-BA,50000.14,50000.14,235694.13,60650.73,0,82070.96,0.0,36162.92,0,0,56809.52,0,0,0,0,0,0,1580.1924914675767,1456.4003412969282,123.79215017064847,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ08,cDXGF,0,Area-ft2-BA,50000.14,50000.14,243104.5,60650.73,0,82070.96,0.0,42024.48,0,0,58358.33,0,0,0,0,0,0,1641.931399317406,1456.4003412969282,185.53105802047781,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ09,cDXGF,0,Area-ft2-BA,50000.14,50000.14,250915.88,60650.73,0,82070.96,0.0,47474.91,0,0,60719.28,0,0,0,0,0,0,1594.4269624573378,1456.4003412969282,138.02662116040955,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ10,cDXGF,0,Area-ft2-BA,50000.14,50000.14,265318.17000000004,60650.73,0,82070.96,0.0,60207.68,0,0,62388.8,0,0,0,0,0,0,1877.3163822525596,1456.4003412969282,420.9160409556314,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ11,cDXGF,0,Area-ft2-BA,50000.14,50000.14,279666.10000000003,60650.73,0,82070.96,0.0,65044.65,0,0,71899.76,0,0,0,0,0,0,2547.8382252559727,1456.4003412969282,1091.4378839590445,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ12,cDXGF,0,Area-ft2-BA,50000.14,50000.14,262556.86,60650.73,0,82070.96,0.0,53671.45,0,0,66163.72,0,0,0,0,0,0,2414.2645051194536,1456.4003412969282,957.8641638225255,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ13,cDXGF,0,Area-ft2-BA,50000.14,50000.14,284402.06000000006,60650.73,0,82070.96,0.0,72883.05,0,0,68797.32,0,0,0,0,0,0,2192.8034129692833,1456.4003412969282,736.4030716723549,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ14,cDXGF,0,Area-ft2-BA,50000.14,50000.14,306894.15,60650.73,0,82070.96,0.0,92186.13,0,0,71986.33,0,0,0,0,0,0,1867.9395904436858,1456.4003412969282,411.5392491467577,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ15,cDXGF,0,Area-ft2-BA,50000.14,50000.14,339250.69,60650.73,0,82070.96,0.0,128412.93,0,0,68116.07,0,0,0,0,0,0,1604.2675767918088,1456.4003412969282,147.86723549488056,0.0,1,1,2024-02-07 21:46:14.214415
PreNRes-SplitAC-1Sp-S13.0,None,EPr,1975,CZ16,cDXGF,0,Area-ft2-BA,50000.14,50000.14,280725.21,60650.73,0,82070.96,0.0,57701.87,0,0,80301.65,0,0,0,0,0,0,2879.713310580205,1456.4003412969282,1423.3129692832765,0.0,1,1,2024-02-07 21:46:14.214415
