Building Type,Measure,System Type,Run Type,Climate Zone,Average Temperature,Average Electric Energy
RtL,M1,cPTAC,Measure,CZ07,26.066111111111113,1715976581.6908975
RtL,M1,cPVVG,Base,CZ07,26.066111111111113,1621641662.3933039
RtL,M1,cPVVG,Measure,CZ07,26.066111111111113,1627594219.0786896
RtL,M2,cDXGF,Base,CZ07,26.066111111111113,1678509889.6367013
RtL,M2,cDXGF,Measure,CZ07,26.066111111111113,1658733482.1195474
RtL,M2,cDXHP,Base,CZ07,26.066111111111113,1676248701.4733899
RtL,M2,cDXHP,Measure,CZ07,26.066111111111113,1655974220.1797502
RtL,M2,cPTAC,Base,CZ07,26.066111111111113,1678509889.6367104
RtL,M2,cPTAC,Measure,CZ07,26.066111111111113,1658733482.1195643
RtL,M2,cPVVG,Base,CZ07,26.066111111111113,1566244264.7356064
RtL,M2,cPVVG,Measure,CZ07,26.066111111111113,1554647817.7932332
RtL,M3,cDXGF,Base,CZ07,26.066111111111113,1538419463.0901494
RtL,M3,cDXGF,Measure,CZ07,26.066111111111113,1452566369.2354712
RtL,M3,cDXHP,Base,CZ07,26.066111111111113,1515017533.0987394
RtL,M3,cDXHP,Measure,CZ07,26.066111111111113,1428765356.5779824
RtL,M3,cPTAC,Base,CZ07,26.066111111111113,1538419463.0901587
RtL,M3,cPTAC,Measure,CZ07,26.066111111111113,1452566369.235479
RtL,M3,cPVVG,Base,CZ07,26.066111111111113,1523269517.7474632
RtL,M3,cPVVG,Measure,CZ07,26.066111111111113,1438018676.0087955
RtL,M4,cDXGF,Base,CZ07,26.066111111111113,1723241773.0275428
RtL,M4,cDXGF,Measure,CZ07,26.066111111111113,1715976619.6127534
RtL,M4,cDXHP,Base,CZ07,26.066111111111113,1714470570.105613
RtL,M4,cDXHP,Measure,CZ07,26.066111111111113,1706841179.0129662
RtL,M4,cPTAC,Base,CZ07,26.066111111111113,1723241773.0275702
RtL,M4,cPTAC,Measure,CZ07,26.066111111111113,1715976619.6126971
RtL,M4,cPVVG,Base,CZ07,26.066111111111113,1621641641.800402
RtL,M4,cPVVG,Measure,CZ07,26.066111111111113,1627594473.6784353
RtL,M5,cDXGF,Base,CZ07,26.066111111111113,1617654963.2107413
RtL,M5,cDXGF,Measure,CZ07,26.066111111111113,1546331456.19317
RtL,M5,cDXHP,Base,CZ07,26.066111111111113,1600554776.7560883
RtL,M5,cDXHP,Measure,CZ07,26.066111111111113,1527724579.3588448
RtL,M5,cPTAC,Base,CZ07,26.066111111111113,1617654963.2107475
RtL,M5,cPTAC,Measure,CZ07,26.066111111111113,1546331456.193176
RtL,M5,cPVVG,Base,CZ07,26.066111111111113,1602992482.7627084
RtL,M5,cPVVG,Measure,CZ07,26.066111111111113,1532149623.8170943
RtS,M1,cDXGF,Base,CZ07,26.066111111111113,114287981.57327618
RtS,M1,cDXGF,Measure,CZ07,26.066111111111113,114013419.1697879
RtS,M1,cDXHP,Base,CZ07,26.066111111111113,114145035.7028773
RtS,M1,cDXHP,Measure,CZ07,26.066111111111113,113846463.67141566
RtS,M1,cPTAC,Base,CZ07,26.066111111111113,114287981.57327291
RtS,M1,cPTAC,Measure,CZ07,26.066111111111113,114013419.16978782
RtS,M1,cPVVG,Base,CZ07,26.066111111111113,108585759.90101983
RtS,M1,cPVVG,Measure,CZ07,26.066111111111113,109119868.5243304
