Filename,Measure,BldgType,BldgLoc,BldgHVAC,Run Type,Cooling Capacity,Heating Capacity,Conditioned Area,Electricity Heating,Natural Gas Heating,Electricity Cooling,Electricity Fans,Unmet Hours Heating,Unmet Hours Cooling
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ07\MLI\M3-cDXHP-Measure\instance0821201730\eplustbl.csv,M3,MLI,CZ07,cDXHP,Measure,704721.48,704721.48,9291.61,1731.53,0.0,123990.39,60402.47,1.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ08\MLI\M3-cDXHP-Measure\instance0821203555\eplustbl.csv,M3,MLI,CZ08,cDXHP,Measure,740361.54,740361.54,9291.61,2777.64,0.0,151006.61,70269.09,2.0,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ09\MLI\M3-cDXHP-Measure\instance0821205726\eplustbl.csv,M3,MLI,CZ09,cDXHP,Measure,743780.53,743780.53,9291.61,4067.44,0.0,151701.24,71997.85,4.33,0.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ10\MLI\M3-cDXHP-Measure\instance0821211643\eplustbl.csv,M3,MLI,CZ10,cDXHP,Measure,749718.55,749718.55,9291.61,3551.81,0.0,156486.07,71866.11,3.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ11\MLI\M3-cDXHP-Measure\instance0821213543\eplustbl.csv,M3,MLI,CZ11,cDXHP,Measure,810447.62,810447.62,9291.61,15088.47,0.0,154297.1,70369.84,14.5,1.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ12\MLI\M3-cDXHP-Measure\instance0821215309\eplustbl.csv,M3,MLI,CZ12,cDXHP,Measure,794445.1100000001,794445.1100000001,9291.61,14123.21,0.0,132145.79,61437.55,14.5,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ13\MLI\M3-cDXHP-Measure\instance0821221114\eplustbl.csv,M3,MLI,CZ13,cDXHP,Measure,809900.71,809900.71,9291.61,11697.01,0.0,171058.12,77647.84,13.0,2.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ14\MLI\M3-cDXHP-Measure\instance0821214144\eplustbl.csv,M3,MLI,CZ14,cDXHP,Measure,810531.87,810531.87,9291.61,13904.97,0.0,157204.28,76477.48,16.5,0.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ15\MLI\M3-cDXHP-Measure\instance0821200107\eplustbl.csv,M3,MLI,CZ15,cDXHP,Measure,817706.27,817706.27,9291.61,1686.8,0.0,248695.75,109198.7,1.33,14.5
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ16\MLI\M3-cDXHP-Measure\instance0821182713\eplustbl.csv,M3,MLI,CZ16,cDXHP,Measure,783894.26,783894.26,9291.61,35877.13,0.0,92896.67,64723.02,25.5,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ01\MLI\M3-cPTAC-Base\instance0819143928\eplustbl.csv,M3,MLI,CZ01,cPTAC,Base,546383.61,0.0,9291.61,0.0,0.0,67019.82,97746.54,1431.67,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ02\MLI\M3-cPTAC-Base\instance0819160224\eplustbl.csv,M3,MLI,CZ02,cPTAC,Base,599702.12,0.0,9291.61,0.0,0.0,125669.71,99893.51,926.67,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ03\MLI\M3-cPTAC-Base\instance0819172433\eplustbl.csv,M3,MLI,CZ03,cPTAC,Base,556751.03,0.0,9291.61,0.0,0.0,110352.1,80210.0,662.83,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ04\MLI\M3-cPTAC-Base\instance0819190347\eplustbl.csv,M3,MLI,CZ04,cPTAC,Base,641193.27,0.0,9291.61,0.0,0.0,162656.34,105709.43,703.17,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ05\MLI\M3-cPTAC-Base\instance0819203641\eplustbl.csv,M3,MLI,CZ05,cPTAC,Base,572368.62,0.0,9291.61,0.0,0.0,110603.55,75106.31,478.0,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ06\MLI\M3-cPTAC-Base\instance0819222401\eplustbl.csv,M3,MLI,CZ06,cPTAC,Base,574960.11,0.0,9291.61,0.0,0.0,154407.85,78468.42,179.17,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ07\MLI\M3-cPTAC-Base\instance0820000848\eplustbl.csv,M3,MLI,CZ07,cPTAC,Base,599523.8200000001,0.0,9291.61,0.0,0.0,156747.7,75655.76,129.67,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ08\MLI\M3-cPTAC-Base\instance0820015902\eplustbl.csv,M3,MLI,CZ08,cPTAC,Base,602425.62,0.0,9291.61,0.0,0.0,191042.9,94389.65,212.33,0.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ09\MLI\M3-cPTAC-Base\instance0820035706\eplustbl.csv,M3,MLI,CZ09,cPTAC,Base,615519.24,0.0,9291.61,0.0,0.0,191787.23,98758.62,272.33,0.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ10\MLI\M3-cPTAC-Base\instance0820055511\eplustbl.csv,M3,MLI,CZ10,cPTAC,Base,614956.78,0.0,9291.61,0.0,0.0,197842.49,97989.14,249.83,0.17
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ11\MLI\M3-cPTAC-Base\instance0820075424\eplustbl.csv,M3,MLI,CZ11,cPTAC,Base,640075.62,0.0,9291.61,0.0,0.0,193792.78,127045.92,962.17,3.0
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ12\MLI\M3-cPTAC-Base\instance0820094110\eplustbl.csv,M3,MLI,CZ12,cPTAC,Base,633250.05,0.0,9291.61,0.0,0.0,165755.64,114141.99,904.17,0.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ13\MLI\M3-cPTAC-Base\instance0820112833\eplustbl.csv,M3,MLI,CZ13,cPTAC,Base,655364.49,0.0,9291.61,0.0,0.0,215171.94,127009.84,791.67,6.33
C:\dev\SWHC062-03\commercial measures\SWHC062-03 Occupancy Fan Controller\SWHC062-03 Occupancy Fan Controller_Ex\runs\CZ14\MLI\M3-cPTAC-Base\instance0820113640\eplustbl.csv,M3,MLI,CZ14,cPTAC,Base,677954.68,0.0,9291.61,0.0,0.0,198084.37,122216.16,690.33,1.17
