TechID,System Type,Building Type,Building Location,UEC_kWhBase__heat,UEC_kWhBase__cool,UEC_kWhBase__ventFan
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,SFm,CZ15,0.0,46808.7468,1690.8196
RB-dxAC_equip-spltAC-SEER-BA-rDXGF-NoLRM-40%UC-AOE,rDXGF,SFm,CZ16,0.0,2744.5371,333.7631
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ01,4823.1776,132.0188,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ02,9533.6168,1905.6004,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ03,6674.5044,1732.7664,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ04,9356.1584,4796.7684,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ05,7062.2964,1582.1856,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ06,3813.859,2287.9955,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ07,3325.8795,1622.9665,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ08,3457.522,4907.508,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ09,5149.5817,4761.2369,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ10,2741.895,3797.517,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ11,5407.8085,5000.8061,1235.9302
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ12,5809.761,2483.6861,916.1865
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ13,5852.6127,6944.7663,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ14,7232.2696,3382.9408,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ15,1598.2888,11641.0276,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ16,4192.2975,682.5474,553.3869
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ01,4823.1776,132.0188,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ02,9533.6168,1905.6004,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ03,6674.5044,1732.7664,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ04,9356.1584,4796.7684,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ05,7062.2964,1582.1856,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ06,3813.859,2287.9955,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ07,3325.8795,1622.9665,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ08,3457.522,4907.508,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ09,5149.5817,4761.2369,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ10,2741.895,3797.517,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ11,5407.8085,5000.8061,1235.9302
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ12,5809.761,2483.6861,916.1865
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ13,5852.6127,6944.7663,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ14,7232.2696,3382.9408,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ15,1598.2888,11641.0276,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-7.5%UC-AOE,rDXHP,SFm,CZ16,4192.2975,682.5474,553.3869
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ01,4588.5292,112.522,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ02,9049.5972,1624.1508,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ03,6305.4536,1476.8484,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ04,8872.8888,4088.3248,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ05,6677.88,1348.5072,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ06,3593.9615,1950.0825,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ07,3134.2015,1383.27,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ08,3261.3915,4182.704,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ09,4858.9689,4058.0372,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ10,2591.2766,3236.653,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ11,5128.7871,4262.2261,1235.9302
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ12,5510.0673,2116.8712,916.1865
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ13,5547.0633,5919.0775,1564.3902
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ14,6849.552,2883.312,1176.5188
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ15,1508.718,9921.7344,1754.0664
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ16,4001.3699,581.7401,553.3869
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ01,4588.5292,112.522,492.9096
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ02,9049.5972,1624.1508,1215.4264
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ03,6305.4536,1476.8484,957.9524
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ04,8872.8888,4088.3248,1603.6068
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ05,6677.88,1348.5072,962.6768
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ06,3593.9615,1950.0825,765.947
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ07,3134.2015,1383.27,602.755
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ08,3261.3915,4182.704,1123.015
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ09,4858.9689,4058.0372,1254.2618
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ10,2591.2766,3236.653,822.2834
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ11,5128.7871,4262.2261,1235.9302
RB-dxHP_equip-spltHP-SEER-BA-rDXHP-NoLRM-0%UC-AOE,rDXHP,SFm,CZ12,5510.0673,2116.8712,916.1865
